Orientation,Slice1
-89.500,9578
-88.500,8314
-87.500,8407
-86.500,8523
-85.500,8519
-84.500,8742
-83.500,8661
-82.500,9062
-81.500,9275
-80.500,9497
-79.500,9702
-78.500,10096
-77.500,10228
-76.500,10622
-75.500,10833
-74.500,11479
-73.500,11874
-72.500,11977
-71.500,12710
-70.500,12921
-69.500,13269
-68.500,13005
-67.500,12992
-66.500,13379
-65.500,13225
-64.500,13378
-63.500,13450
-62.500,13336
-61.500,13253
-60.500,13251
-59.500,12828
-58.500,12467
-57.500,12689
-56.500,12336
-55.500,12446
-54.500,12326
-53.500,12388
-52.500,12295
-51.500,11988
-50.500,11745
-49.500,11670
-48.500,11428
-47.500,11364
-46.500,11160
-45.500,10962
-44.500,10855
-43.500,10578
-42.500,10371
-41.500,10305
-40.500,10123
-39.500,10154
-38.500,10278
-37.500,10245
-36.500,10373
-35.500,10186
-34.500,10373
-33.500,10372
-32.500,10153
-31.500,9968
-30.500,9980
-29.500,9911
-28.500,10060
-27.500,9958
-26.500,10168
-25.500,10109
-24.500,10037
-23.500,10161
-22.500,9907
-21.500,10177
-20.500,10198
-19.500,10317
-18.500,10232
-17.500,10297
-16.500,10357
-15.500,10449
-14.500,10411
-13.500,10517
-12.500,10678
-11.500,10817
-10.500,10982
-9.500,10742
-8.500,11095
-7.500,11102
-6.500,11282
-5.500,11629
-4.500,11677
-3.500,11870
-2.500,11661
-1.500,12279
-0.500,15311
0.500,20421
1.500,12408
2.500,12442
3.500,12670
4.500,12581
5.500,13078
6.500,12734
7.500,12787
8.500,12929
9.500,12905
10.500,13317
11.500,13269
12.500,13643
13.500,13650
14.500,13726
15.500,14006
16.500,14372
17.500,14172
18.500,14037
19.500,13985
20.500,13584
21.500,13550
22.500,13418
23.500,12663
24.500,12326
25.500,11721
26.500,11316
27.500,11226
28.500,10973
29.500,10448
30.500,10151
31.500,9570
32.500,9293
33.500,9190
34.500,8665
35.500,8666
36.500,8445
37.500,8104
38.500,7837
39.500,7600
40.500,7352
41.500,7022
42.500,6800
43.500,6894
44.500,6664
45.500,6504
46.500,6384
47.500,6134
48.500,5964
49.500,5941
50.500,5745
51.500,5594
52.500,5487
53.500,5467
54.500,5456
55.500,5302
56.500,5559
57.500,5488
58.500,5457
59.500,5391
60.500,5364
61.500,5286
62.500,5310
63.500,5231
64.500,5153
65.500,5157
66.500,5329
67.500,5157
68.500,5084
69.500,5101
70.500,5186
71.500,5350
72.500,5490
73.500,5372
74.500,5325
75.500,5387
76.500,5527
77.500,5622
78.500,5741
79.500,5865
80.500,6437
81.500,6436
82.500,6305
83.500,6709
84.500,7147
85.500,7238
86.500,7014
87.500,7059
88.500,7317
89.500,8086
