Orientation,Slice1
-89.500,384
-88.500,377
-87.500,429
-86.500,386
-85.500,406
-84.500,411
-83.500,402
-82.500,391
-81.500,386
-80.500,414
-79.500,427
-78.500,399
-77.500,374
-76.500,444
-75.500,429
-74.500,448
-73.500,428
-72.500,413
-71.500,440
-70.500,493
-69.500,479
-68.500,476
-67.500,503
-66.500,545
-65.500,544
-64.500,524
-63.500,541
-62.500,544
-61.500,548
-60.500,604
-59.500,538
-58.500,650
-57.500,625
-56.500,716
-55.500,688
-54.500,694
-53.500,721
-52.500,758
-51.500,805
-50.500,904
-49.500,913
-48.500,886
-47.500,973
-46.500,989
-45.500,1022
-44.500,1086
-43.500,1046
-42.500,1141
-41.500,1119
-40.500,1199
-39.500,1148
-38.500,1278
-37.500,1401
-36.500,1420
-35.500,1517
-34.500,1571
-33.500,1691
-32.500,1704
-31.500,1873
-30.500,1877
-29.500,2039
-28.500,1997
-27.500,2100
-26.500,2161
-25.500,2190
-24.500,2319
-23.500,2431
-22.500,2387
-21.500,2648
-20.500,2714
-19.500,2730
-18.500,2842
-17.500,3079
-16.500,3064
-15.500,3285
-14.500,3498
-13.500,3622
-12.500,3678
-11.500,3917
-10.500,4115
-9.500,4481
-8.500,4589
-7.500,4829
-6.500,4962
-5.500,5150
-4.500,5261
-3.500,5497
-2.500,5570
-1.500,5714
-0.500,5846
0.500,6073
1.500,6183
2.500,6269
3.500,6439
4.500,6556
5.500,6596
6.500,6889
7.500,6780
8.500,7117
9.500,7187
10.500,7441
11.500,7541
12.500,7742
13.500,7617
14.500,7524
15.500,7391
16.500,7379
17.500,7333
18.500,7383
19.500,7354
20.500,7315
21.500,7295
22.500,7213
23.500,7219
24.500,7277
25.500,7183
26.500,6971
27.500,7053
28.500,6655
29.500,6633
30.500,6437
31.500,6176
32.500,5999
33.500,5959
34.500,5743
35.500,5699
36.500,5608
37.500,5354
38.500,5064
39.500,4764
40.500,4727
41.500,4538
42.500,4237
43.500,4250
44.500,3763
45.500,3476
46.500,3056
47.500,2928
48.500,2667
49.500,2504
50.500,2291
51.500,2115
52.500,1959
53.500,1755
54.500,1679
55.500,1561
56.500,1460
57.500,1357
58.500,1345
59.500,1204
60.500,1166
61.500,1121
62.500,1061
63.500,982
64.500,928
65.500,956
66.500,881
67.500,807
68.500,740
69.500,741
70.500,669
71.500,683
72.500,580
73.500,576
74.500,585
75.500,537
76.500,493
77.500,507
78.500,504
79.500,479
80.500,488
81.500,478
82.500,429
83.500,457
84.500,400
85.500,445
86.500,399
87.500,389
88.500,392
89.500,375
