Orientation,Slice1
-89.500,471
-88.500,472
-87.500,438
-86.500,470
-85.500,474
-84.500,494
-83.500,493
-82.500,512
-81.500,474
-80.500,508
-79.500,542
-78.500,498
-77.500,556
-76.500,612
-75.500,598
-74.500,617
-73.500,683
-72.500,726
-71.500,710
-70.500,713
-69.500,741
-68.500,738
-67.500,757
-66.500,748
-65.500,800
-64.500,754
-63.500,821
-62.500,848
-61.500,920
-60.500,944
-59.500,1031
-58.500,1173
-57.500,1171
-56.500,1210
-55.500,1318
-54.500,1384
-53.500,1320
-52.500,1426
-51.500,1610
-50.500,1731
-49.500,1946
-48.500,1980
-47.500,2069
-46.500,2142
-45.500,2381
-44.500,2626
-43.500,2707
-42.500,2822
-41.500,2936
-40.500,3062
-39.500,3217
-38.500,3543
-37.500,3634
-36.500,3835
-35.500,4063
-34.500,4025
-33.500,4216
-32.500,4460
-31.500,4573
-30.500,4580
-29.500,4908
-28.500,5054
-27.500,5170
-26.500,5317
-25.500,5645
-24.500,5516
-23.500,5644
-22.500,5851
-21.500,6012
-20.500,6048
-19.500,6045
-18.500,6206
-17.500,6362
-16.500,6549
-15.500,6715
-14.500,6956
-13.500,7028
-12.500,7244
-11.500,7171
-10.500,7183
-9.500,7235
-8.500,7491
-7.500,7524
-6.500,7485
-5.500,7590
-4.500,7943
-3.500,8095
-2.500,8121
-1.500,7905
-0.500,7869
0.500,7697
1.500,7588
2.500,7678
3.500,7771
4.500,7584
5.500,7500
6.500,7485
7.500,7367
8.500,7156
9.500,6970
10.500,6926
11.500,6945
12.500,6754
13.500,6657
14.500,6733
15.500,6418
16.500,6369
17.500,6282
18.500,6263
19.500,6136
20.500,6057
21.500,5906
22.500,5851
23.500,5730
24.500,5677
25.500,5689
26.500,5264
27.500,5065
28.500,5023
29.500,4942
30.500,4696
31.500,4581
32.500,4265
33.500,4076
34.500,3852
35.500,3647
36.500,3494
37.500,3367
38.500,3141
39.500,3044
40.500,2769
41.500,2574
42.500,2500
43.500,2282
44.500,2217
45.500,1955
46.500,1927
47.500,1670
48.500,1578
49.500,1492
50.500,1465
51.500,1393
52.500,1272
53.500,1331
54.500,1236
55.500,1113
56.500,960
57.500,930
58.500,899
59.500,847
60.500,776
61.500,751
62.500,729
63.500,772
64.500,668
65.500,676
66.500,631
67.500,624
68.500,628
69.500,609
70.500,578
71.500,573
72.500,508
73.500,539
74.500,514
75.500,520
76.500,514
77.500,476
78.500,528
79.500,527
80.500,535
81.500,575
82.500,515
83.500,559
84.500,527
85.500,496
86.500,501
87.500,467
88.500,521
89.500,510
