Orientation,Slice1
-89.500,910
-88.500,875
-87.500,952
-86.500,878
-85.500,923
-84.500,939
-83.500,922
-82.500,932
-81.500,948
-80.500,951
-79.500,888
-78.500,1014
-77.500,1061
-76.500,1055
-75.500,1030
-74.500,1086
-73.500,1162
-72.500,1211
-71.500,1234
-70.500,1229
-69.500,1326
-68.500,1379
-67.500,1435
-66.500,1527
-65.500,1600
-64.500,1808
-63.500,1813
-62.500,1962
-61.500,2001
-60.500,2135
-59.500,2238
-58.500,2483
-57.500,2527
-56.500,2670
-55.500,2920
-54.500,3178
-53.500,3416
-52.500,3585
-51.500,3733
-50.500,3899
-49.500,4295
-48.500,4412
-47.500,4567
-46.500,4793
-45.500,4954
-44.500,5262
-43.500,5342
-42.500,5363
-41.500,5452
-40.500,5436
-39.500,5431
-38.500,5381
-37.500,5450
-36.500,5318
-35.500,5224
-34.500,5149
-33.500,5377
-32.500,5012
-31.500,5036
-30.500,4864
-29.500,4752
-28.500,4659
-27.500,4551
-26.500,4534
-25.500,4370
-24.500,4219
-23.500,4174
-22.500,4183
-21.500,4126
-20.500,4094
-19.500,4228
-18.500,4097
-17.500,4174
-16.500,4076
-15.500,4030
-14.500,4031
-13.500,3982
-12.500,4157
-11.500,3974
-10.500,3982
-9.500,4015
-8.500,3918
-7.500,4226
-6.500,4267
-5.500,4250
-4.500,4290
-3.500,4383
-2.500,4336
-1.500,4463
-0.500,4494
0.500,4601
1.500,4473
2.500,4632
3.500,4656
4.500,4628
5.500,4857
6.500,4791
7.500,4713
8.500,4897
9.500,4970
10.500,5071
11.500,5064
12.500,5050
13.500,5029
14.500,5279
15.500,5133
16.500,5236
17.500,5384
18.500,5562
19.500,5514
20.500,5396
21.500,5538
22.500,5438
23.500,5348
24.500,5426
25.500,5143
26.500,4890
27.500,4862
28.500,4606
29.500,4664
30.500,4535
31.500,4549
32.500,4250
33.500,4144
34.500,3981
35.500,3612
36.500,3436
37.500,3160
38.500,3018
39.500,2795
40.500,2695
41.500,2479
42.500,2428
43.500,2192
44.500,2033
45.500,1952
46.500,1814
47.500,1638
48.500,1628
49.500,1547
50.500,1440
51.500,1354
52.500,1347
53.500,1309
54.500,1233
55.500,1156
56.500,1083
57.500,1097
58.500,1122
59.500,1044
60.500,1099
61.500,1131
62.500,1120
63.500,1044
64.500,1000
65.500,996
66.500,970
67.500,980
68.500,939
69.500,886
70.500,838
71.500,891
72.500,890
73.500,882
74.500,812
75.500,813
76.500,816
77.500,860
78.500,850
79.500,832
80.500,835
81.500,937
82.500,834
83.500,880
84.500,921
85.500,915
86.500,861
87.500,858
88.500,876
89.500,900
