Orientation,Slice1
-89.500,1230
-88.500,1271
-87.500,1220
-86.500,1148
-85.500,1157
-84.500,1149
-83.500,1146
-82.500,1093
-81.500,1114
-80.500,1150
-79.500,1162
-78.500,1152
-77.500,1161
-76.500,1132
-75.500,1147
-74.500,1186
-73.500,1132
-72.500,1191
-71.500,1159
-70.500,1266
-69.500,1252
-68.500,1197
-67.500,1285
-66.500,1293
-65.500,1309
-64.500,1336
-63.500,1363
-62.500,1362
-61.500,1360
-60.500,1462
-59.500,1438
-58.500,1459
-57.500,1548
-56.500,1516
-55.500,1585
-54.500,1633
-53.500,1673
-52.500,1684
-51.500,1881
-50.500,1929
-49.500,1868
-48.500,2109
-47.500,2218
-46.500,2373
-45.500,2497
-44.500,2562
-43.500,2679
-42.500,2907
-41.500,3126
-40.500,3338
-39.500,3370
-38.500,3565
-37.500,3900
-36.500,3981
-35.500,4099
-34.500,4425
-33.500,4609
-32.500,4798
-31.500,5231
-30.500,5557
-29.500,5742
-28.500,6248
-27.500,6499
-26.500,7063
-25.500,7278
-24.500,7677
-23.500,8332
-22.500,8967
-21.500,9366
-20.500,10027
-19.500,10387
-18.500,10933
-17.500,11630
-16.500,12452
-15.500,13118
-14.500,14019
-13.500,14734
-12.500,15291
-11.500,16346
-10.500,17339
-9.500,17738
-8.500,17955
-7.500,17799
-6.500,17581
-5.500,17539
-4.500,17048
-3.500,16721
-2.500,16009
-1.500,15493
-0.500,14791
0.500,14125
1.500,13309
2.500,12702
3.500,12110
4.500,11785
5.500,11391
6.500,10867
7.500,10312
8.500,9908
9.500,9506
10.500,8976
11.500,8505
12.500,8073
13.500,7457
14.500,7318
15.500,6842
16.500,6588
17.500,6289
18.500,6122
19.500,5684
20.500,5387
21.500,5268
22.500,5039
23.500,4827
24.500,4484
25.500,4474
26.500,4339
27.500,4085
28.500,3937
29.500,3721
30.500,3737
31.500,3563
32.500,3334
33.500,3212
34.500,3066
35.500,2921
36.500,2884
37.500,2683
38.500,2588
39.500,2495
40.500,2489
41.500,2458
42.500,2334
43.500,2215
44.500,2166
45.500,1943
46.500,1960
47.500,2030
48.500,1874
49.500,1920
50.500,1852
51.500,1877
52.500,1772
53.500,1710
54.500,1712
55.500,1627
56.500,1605
57.500,1588
58.500,1486
59.500,1405
60.500,1410
61.500,1358
62.500,1341
63.500,1305
64.500,1289
65.500,1291
66.500,1198
67.500,1122
68.500,1187
69.500,1221
70.500,1304
71.500,1171
72.500,1248
73.500,1211
74.500,1167
75.500,1216
76.500,1192
77.500,1227
78.500,1253
79.500,1289
80.500,1399
81.500,1402
82.500,1388
83.500,1378
84.500,1321
85.500,1364
86.500,1367
87.500,1254
88.500,1179
89.500,1172
