Orientation,Slice1
-89.500,3648
-88.500,3600
-87.500,3594
-86.500,3482
-85.500,3405
-84.500,3267
-83.500,3300
-82.500,3310
-81.500,3149
-80.500,3052
-79.500,3019
-78.500,2808
-77.500,2768
-76.500,2743
-75.500,2695
-74.500,2641
-73.500,2621
-72.500,2590
-71.500,2469
-70.500,2405
-69.500,2453
-68.500,2386
-67.500,2308
-66.500,2411
-65.500,2405
-64.500,2429
-63.500,2409
-62.500,2369
-61.500,2386
-60.500,2422
-59.500,2315
-58.500,2297
-57.500,2384
-56.500,2480
-55.500,2459
-54.500,2486
-53.500,2361
-52.500,2399
-51.500,2431
-50.500,2380
-49.500,2499
-48.500,2593
-47.500,2706
-46.500,2880
-45.500,2826
-44.500,3010
-43.500,2990
-42.500,3143
-41.500,3209
-40.500,3341
-39.500,3426
-38.500,3464
-37.500,3615
-36.500,3687
-35.500,3801
-34.500,3988
-33.500,3969
-32.500,4098
-31.500,4183
-30.500,4397
-29.500,4560
-28.500,4673
-27.500,4894
-26.500,5108
-25.500,5401
-24.500,5517
-23.500,5852
-22.500,6112
-21.500,6452
-20.500,6566
-19.500,6778
-18.500,7198
-17.500,7819
-16.500,8081
-15.500,8622
-14.500,8612
-13.500,8691
-12.500,8858
-11.500,8917
-10.500,9313
-9.500,9506
-8.500,9902
-7.500,10008
-6.500,10459
-5.500,10591
-4.500,10653
-3.500,11009
-2.500,11335
-1.500,11245
-0.500,11568
0.500,11320
1.500,11399
2.500,10830
3.500,10639
4.500,10164
5.500,9856
6.500,9689
7.500,9387
8.500,9115
9.500,9072
10.500,8842
11.500,8952
12.500,8663
13.500,8865
14.500,8623
15.500,8349
16.500,8108
17.500,7868
18.500,8037
19.500,7950
20.500,7829
21.500,7855
22.500,7823
23.500,7654
24.500,7618
25.500,7441
26.500,7269
27.500,7085
28.500,7184
29.500,7030
30.500,6920
31.500,6921
32.500,6854
33.500,6763
34.500,6729
35.500,6387
36.500,6176
37.500,6107
38.500,5909
39.500,5578
40.500,5573
41.500,5284
42.500,5122
43.500,4811
44.500,4864
45.500,4696
46.500,4424
47.500,4274
48.500,4133
49.500,3946
50.500,3918
51.500,3739
52.500,3581
53.500,3451
54.500,3262
55.500,3177
56.500,3120
57.500,3073
58.500,3046
59.500,2961
60.500,2931
61.500,2948
62.500,2801
63.500,2749
64.500,2623
65.500,2709
66.500,2822
67.500,2708
68.500,2774
69.500,2709
70.500,2800
71.500,2799
72.500,2621
73.500,2827
74.500,2755
75.500,2814
76.500,2857
77.500,2906
78.500,2977
79.500,3146
80.500,3301
81.500,3149
82.500,3278
83.500,3230
84.500,3421
85.500,3339
86.500,3443
87.500,3544
88.500,3664
89.500,3597
