Orientation,Slice1
-89.500,569
-88.500,574
-87.500,550
-86.500,507
-85.500,460
-84.500,478
-83.500,464
-82.500,507
-81.500,502
-80.500,524
-79.500,496
-78.500,486
-77.500,492
-76.500,455
-75.500,525
-74.500,513
-73.500,517
-72.500,530
-71.500,545
-70.500,568
-69.500,551
-68.500,527
-67.500,576
-66.500,578
-65.500,605
-64.500,574
-63.500,611
-62.500,629
-61.500,603
-60.500,691
-59.500,674
-58.500,668
-57.500,788
-56.500,781
-55.500,821
-54.500,851
-53.500,919
-52.500,913
-51.500,914
-50.500,925
-49.500,996
-48.500,969
-47.500,920
-46.500,1005
-45.500,1052
-44.500,1206
-43.500,1223
-42.500,1255
-41.500,1285
-40.500,1291
-39.500,1465
-38.500,1427
-37.500,1440
-36.500,1592
-35.500,1664
-34.500,1721
-33.500,1712
-32.500,1734
-31.500,1792
-30.500,1847
-29.500,1829
-28.500,1874
-27.500,1962
-26.500,1926
-25.500,1851
-24.500,2046
-23.500,2014
-22.500,2148
-21.500,2138
-20.500,2169
-19.500,2108
-18.500,2217
-17.500,2185
-16.500,2218
-15.500,2172
-14.500,2148
-13.500,2290
-12.500,2100
-11.500,2354
-10.500,2264
-9.500,2378
-8.500,2431
-7.500,2377
-6.500,2357
-5.500,2381
-4.500,2313
-3.500,2455
-2.500,2284
-1.500,2337
-0.500,2364
0.500,2270
1.500,2369
2.500,2287
3.500,2376
4.500,2304
5.500,2296
6.500,2438
7.500,2382
8.500,2375
9.500,2385
10.500,2528
11.500,2287
12.500,2317
13.500,2295
14.500,2277
15.500,2243
16.500,2188
17.500,2204
18.500,2240
19.500,2137
20.500,2222
21.500,2155
22.500,2094
23.500,2161
24.500,2177
25.500,2260
26.500,2386
27.500,2388
28.500,2394
29.500,2239
30.500,2387
31.500,2300
32.500,2347
33.500,2367
34.500,2429
35.500,2318
36.500,2231
37.500,2220
38.500,2202
39.500,2154
40.500,2119
41.500,2036
42.500,1990
43.500,1864
44.500,1858
45.500,1767
46.500,1687
47.500,1568
48.500,1433
49.500,1395
50.500,1335
51.500,1283
52.500,1237
53.500,1213
54.500,1193
55.500,1128
56.500,1077
57.500,1066
58.500,1033
59.500,957
60.500,920
61.500,877
62.500,860
63.500,790
64.500,791
65.500,730
66.500,692
67.500,742
68.500,677
69.500,660
70.500,614
71.500,699
72.500,645
73.500,611
74.500,567
75.500,566
76.500,575
77.500,553
78.500,553
79.500,548
80.500,531
81.500,589
82.500,528
83.500,496
84.500,556
85.500,501
86.500,539
87.500,521
88.500,565
89.500,553
