Orientation,Slice1
-89.500,582
-88.500,556
-87.500,516
-86.500,524
-85.500,555
-84.500,525
-83.500,560
-82.500,543
-81.500,524
-80.500,611
-79.500,599
-78.500,646
-77.500,615
-76.500,646
-75.500,635
-74.500,663
-73.500,656
-72.500,652
-71.500,666
-70.500,681
-69.500,700
-68.500,680
-67.500,672
-66.500,707
-65.500,700
-64.500,702
-63.500,699
-62.500,716
-61.500,780
-60.500,761
-59.500,836
-58.500,824
-57.500,878
-56.500,856
-55.500,907
-54.500,913
-53.500,1056
-52.500,1000
-51.500,1129
-50.500,1066
-49.500,1246
-48.500,1280
-47.500,1213
-46.500,1247
-45.500,1254
-44.500,1197
-43.500,1183
-42.500,1178
-41.500,1287
-40.500,1281
-39.500,1307
-38.500,1391
-37.500,1380
-36.500,1442
-35.500,1361
-34.500,1403
-33.500,1386
-32.500,1417
-31.500,1392
-30.500,1468
-29.500,1503
-28.500,1439
-27.500,1483
-26.500,1458
-25.500,1517
-24.500,1520
-23.500,1525
-22.500,1554
-21.500,1572
-20.500,1645
-19.500,1730
-18.500,1722
-17.500,1733
-16.500,1763
-15.500,1835
-14.500,1838
-13.500,1769
-12.500,1851
-11.500,1907
-10.500,1869
-9.500,1853
-8.500,1834
-7.500,1894
-6.500,1987
-5.500,1951
-4.500,2024
-3.500,2094
-2.500,2098
-1.500,2232
-0.500,2092
0.500,2186
1.500,2275
2.500,2170
3.500,2238
4.500,2309
5.500,2267
6.500,2348
7.500,2432
8.500,2409
9.500,2476
10.500,2435
11.500,2581
12.500,2569
13.500,2611
14.500,2579
15.500,2799
16.500,2803
17.500,2770
18.500,2822
19.500,2714
20.500,2888
21.500,2973
22.500,3041
23.500,2973
24.500,3129
25.500,3156
26.500,3203
27.500,3149
28.500,3170
29.500,3177
30.500,3331
31.500,3281
32.500,3242
33.500,3132
34.500,3133
35.500,3011
36.500,2966
37.500,2965
38.500,2823
39.500,2886
40.500,2751
41.500,2643
42.500,2585
43.500,2609
44.500,2459
45.500,2427
46.500,2282
47.500,2123
48.500,2080
49.500,1998
50.500,1867
51.500,1829
52.500,1820
53.500,1710
54.500,1666
55.500,1544
56.500,1492
57.500,1491
58.500,1359
59.500,1278
60.500,1186
61.500,1070
62.500,1099
63.500,1004
64.500,910
65.500,948
66.500,893
67.500,847
68.500,781
69.500,791
70.500,803
71.500,788
72.500,789
73.500,774
74.500,752
75.500,686
76.500,632
77.500,642
78.500,600
79.500,602
80.500,613
81.500,603
82.500,568
83.500,598
84.500,577
85.500,601
86.500,548
87.500,581
88.500,572
89.500,565
