Orientation,Slice1
-89.500,499
-88.500,466
-87.500,454
-86.500,485
-85.500,477
-84.500,491
-83.500,454
-82.500,463
-81.500,506
-80.500,523
-79.500,554
-78.500,546
-77.500,557
-76.500,587
-75.500,626
-74.500,628
-73.500,706
-72.500,712
-71.500,725
-70.500,760
-69.500,754
-68.500,730
-67.500,759
-66.500,844
-65.500,837
-64.500,800
-63.500,816
-62.500,876
-61.500,885
-60.500,922
-59.500,975
-58.500,1011
-57.500,1041
-56.500,1089
-55.500,1137
-54.500,1194
-53.500,1322
-52.500,1315
-51.500,1484
-50.500,1501
-49.500,1525
-48.500,1644
-47.500,1726
-46.500,1943
-45.500,2033
-44.500,2193
-43.500,2202
-42.500,2360
-41.500,2430
-40.500,2522
-39.500,2580
-38.500,2717
-37.500,2740
-36.500,3046
-35.500,3141
-34.500,3309
-33.500,3266
-32.500,3353
-31.500,3520
-30.500,3542
-29.500,3777
-28.500,4011
-27.500,4045
-26.500,4063
-25.500,4246
-24.500,4232
-23.500,4326
-22.500,4594
-21.500,4841
-20.500,5169
-19.500,5166
-18.500,5272
-17.500,5404
-16.500,5580
-15.500,5796
-14.500,6144
-13.500,6056
-12.500,6385
-11.500,6288
-10.500,6488
-9.500,6544
-8.500,6836
-7.500,6904
-6.500,7035
-5.500,7019
-4.500,7251
-3.500,7014
-2.500,7086
-1.500,7118
-0.500,7343
0.500,6933
1.500,6848
2.500,6851
3.500,6809
4.500,6918
5.500,6808
6.500,6538
7.500,6179
8.500,6145
9.500,5961
10.500,5645
11.500,5399
12.500,5071
13.500,4947
14.500,4752
15.500,4750
16.500,4722
17.500,4444
18.500,4271
19.500,4180
20.500,4030
21.500,3873
22.500,3621
23.500,3497
24.500,3338
25.500,3278
26.500,3086
27.500,2793
28.500,2690
29.500,2497
30.500,2442
31.500,2320
32.500,2308
33.500,2166
34.500,2056
35.500,2150
36.500,1969
37.500,1919
38.500,1828
39.500,1777
40.500,1776
41.500,1590
42.500,1538
43.500,1451
44.500,1323
45.500,1253
46.500,1218
47.500,1115
48.500,1091
49.500,1004
50.500,977
51.500,909
52.500,836
53.500,873
54.500,769
55.500,736
56.500,684
57.500,645
58.500,675
59.500,631
60.500,601
61.500,520
62.500,560
63.500,578
64.500,526
65.500,486
66.500,448
67.500,413
68.500,446
69.500,449
70.500,454
71.500,370
72.500,362
73.500,390
74.500,363
75.500,389
76.500,385
77.500,389
78.500,424
79.500,409
80.500,357
81.500,337
82.500,354
83.500,350
84.500,363
85.500,384
86.500,376
87.500,418
88.500,416
89.500,500
