Orientation,Slice1
-89.500,619
-88.500,707
-87.500,639
-86.500,615
-85.500,581
-84.500,554
-83.500,559
-82.500,548
-81.500,549
-80.500,483
-79.500,481
-78.500,435
-77.500,467
-76.500,471
-75.500,477
-74.500,492
-73.500,464
-72.500,539
-71.500,535
-70.500,474
-69.500,487
-68.500,437
-67.500,491
-66.500,465
-65.500,449
-64.500,453
-63.500,452
-62.500,456
-61.500,471
-60.500,443
-59.500,466
-58.500,468
-57.500,463
-56.500,525
-55.500,405
-54.500,421
-53.500,444
-52.500,439
-51.500,425
-50.500,434
-49.500,499
-48.500,435
-47.500,486
-46.500,490
-45.500,502
-44.500,515
-43.500,446
-42.500,527
-41.500,470
-40.500,474
-39.500,525
-38.500,522
-37.500,498
-36.500,480
-35.500,517
-34.500,557
-33.500,566
-32.500,566
-31.500,582
-30.500,593
-29.500,613
-28.500,634
-27.500,596
-26.500,637
-25.500,647
-24.500,639
-23.500,640
-22.500,631
-21.500,699
-20.500,662
-19.500,631
-18.500,650
-17.500,727
-16.500,741
-15.500,720
-14.500,752
-13.500,833
-12.500,864
-11.500,963
-10.500,999
-9.500,1059
-8.500,1075
-7.500,1204
-6.500,1185
-5.500,1285
-4.500,1284
-3.500,1335
-2.500,1353
-1.500,1404
-0.500,1415
0.500,1456
1.500,1548
2.500,1661
3.500,1785
4.500,1767
5.500,1652
6.500,1756
7.500,1779
8.500,1929
9.500,2047
10.500,2049
11.500,2039
12.500,2081
13.500,2199
14.500,2334
15.500,2375
16.500,2494
17.500,2528
18.500,2556
19.500,2653
20.500,2664
21.500,2740
22.500,2774
23.500,2720
24.500,2831
25.500,2708
26.500,2867
27.500,2806
28.500,2781
29.500,2892
30.500,2891
31.500,2870
32.500,2970
33.500,3113
34.500,3039
35.500,3014
36.500,2891
37.500,3011
38.500,2779
39.500,2876
40.500,2710
41.500,2684
42.500,2647
43.500,2615
44.500,2457
45.500,2352
46.500,2360
47.500,2222
48.500,2181
49.500,2092
50.500,2108
51.500,1970
52.500,1876
53.500,1869
54.500,1693
55.500,1635
56.500,1608
57.500,1578
58.500,1516
59.500,1559
60.500,1425
61.500,1487
62.500,1365
63.500,1268
64.500,1252
65.500,1187
66.500,1172
67.500,1062
68.500,1081
69.500,1081
70.500,1020
71.500,1021
72.500,969
73.500,928
74.500,978
75.500,823
76.500,877
77.500,855
78.500,853
79.500,803
80.500,820
81.500,862
82.500,791
83.500,910
84.500,801
85.500,726
86.500,720
87.500,671
88.500,684
89.500,677
