Orientation,Slice1
-89.500,493
-88.500,521
-87.500,538
-86.500,515
-85.500,505
-84.500,514
-83.500,531
-82.500,528
-81.500,492
-80.500,544
-79.500,569
-78.500,616
-77.500,619
-76.500,550
-75.500,567
-74.500,557
-73.500,622
-72.500,649
-71.500,672
-70.500,614
-69.500,636
-68.500,610
-67.500,693
-66.500,705
-65.500,733
-64.500,847
-63.500,956
-62.500,984
-61.500,1007
-60.500,1072
-59.500,1218
-58.500,1234
-57.500,1400
-56.500,1434
-55.500,1621
-54.500,1761
-53.500,2021
-52.500,2180
-51.500,2396
-50.500,2530
-49.500,2707
-48.500,3135
-47.500,3301
-46.500,3643
-45.500,3812
-44.500,4170
-43.500,4457
-42.500,4704
-41.500,5035
-40.500,5171
-39.500,5353
-38.500,5692
-37.500,5806
-36.500,5678
-35.500,5691
-34.500,5977
-33.500,6010
-32.500,6095
-31.500,6072
-30.500,6148
-29.500,5970
-28.500,6183
-27.500,6267
-26.500,6279
-25.500,6111
-24.500,6224
-23.500,6208
-22.500,6199
-21.500,6265
-20.500,6275
-19.500,6368
-18.500,6354
-17.500,6342
-16.500,6240
-15.500,6330
-14.500,6337
-13.500,6411
-12.500,6595
-11.500,6542
-10.500,6556
-9.500,6525
-8.500,6413
-7.500,6607
-6.500,6756
-5.500,6673
-4.500,6869
-3.500,6909
-2.500,6775
-1.500,6977
-0.500,6797
0.500,7035
1.500,7097
2.500,7114
3.500,7151
4.500,7221
5.500,7518
6.500,7551
7.500,7527
8.500,7510
9.500,7285
10.500,7576
11.500,7677
12.500,7541
13.500,7625
14.500,7591
15.500,7419
16.500,7468
17.500,7460
18.500,7283
19.500,7400
20.500,7248
21.500,6989
22.500,6816
23.500,6887
24.500,6720
25.500,6460
26.500,6230
27.500,6190
28.500,5952
29.500,5593
30.500,5406
31.500,5271
32.500,4902
33.500,4506
34.500,4210
35.500,3859
36.500,3441
37.500,3079
38.500,2780
39.500,2444
40.500,2197
41.500,1897
42.500,1776
43.500,1498
44.500,1376
45.500,1301
46.500,1147
47.500,1026
48.500,977
49.500,911
50.500,864
51.500,802
52.500,753
53.500,718
54.500,689
55.500,629
56.500,608
57.500,606
58.500,554
59.500,518
60.500,485
61.500,489
62.500,434
63.500,462
64.500,428
65.500,422
66.500,382
67.500,380
68.500,347
69.500,364
70.500,337
71.500,306
72.500,355
73.500,374
74.500,358
75.500,372
76.500,373
77.500,385
78.500,366
79.500,405
80.500,391
81.500,463
82.500,439
83.500,459
84.500,415
85.500,458
86.500,506
87.500,494
88.500,502
89.500,502
