Orientation,Slice1
-89.500,156
-88.500,173
-87.500,157
-86.500,170
-85.500,164
-84.500,157
-83.500,167
-82.500,151
-81.500,167
-80.500,185
-79.500,174
-78.500,192
-77.500,210
-76.500,217
-75.500,232
-74.500,244
-73.500,297
-72.500,304
-71.500,348
-70.500,337
-69.500,377
-68.500,468
-67.500,493
-66.500,549
-65.500,588
-64.500,611
-63.500,649
-62.500,769
-61.500,805
-60.500,909
-59.500,1009
-58.500,1109
-57.500,1174
-56.500,1263
-55.500,1454
-54.500,1658
-53.500,1707
-52.500,1834
-51.500,2050
-50.500,2267
-49.500,2505
-48.500,2667
-47.500,2995
-46.500,3224
-45.500,3639
-44.500,4123
-43.500,4452
-42.500,4440
-41.500,4832
-40.500,5072
-39.500,5319
-38.500,5700
-37.500,5842
-36.500,5987
-35.500,6120
-34.500,6460
-33.500,6491
-32.500,6441
-31.500,6330
-30.500,6445
-29.500,6294
-28.500,6432
-27.500,6219
-26.500,6199
-25.500,6082
-24.500,6037
-23.500,6060
-22.500,5786
-21.500,6121
-20.500,6102
-19.500,6019
-18.500,5812
-17.500,5919
-16.500,5782
-15.500,5866
-14.500,5810
-13.500,5732
-12.500,5770
-11.500,5666
-10.500,5821
-9.500,5900
-8.500,5911
-7.500,6035
-6.500,5985
-5.500,6093
-4.500,6053
-3.500,6050
-2.500,5907
-1.500,6103
-0.500,5831
0.500,6088
1.500,5980
2.500,6029
3.500,6044
4.500,6277
5.500,6263
6.500,6196
7.500,6000
8.500,6005
9.500,5767
10.500,5792
11.500,5689
12.500,5756
13.500,5706
14.500,5659
15.500,5752
16.500,5549
17.500,5806
18.500,5597
19.500,5480
20.500,5385
21.500,5098
22.500,4786
23.500,4539
24.500,4519
25.500,4212
26.500,4275
27.500,4140
28.500,3817
29.500,3722
30.500,3510
31.500,3420
32.500,3113
33.500,2911
34.500,2726
35.500,2430
36.500,2371
37.500,2112
38.500,1973
39.500,1850
40.500,1607
41.500,1502
42.500,1506
43.500,1209
44.500,1088
45.500,974
46.500,925
47.500,798
48.500,708
49.500,712
50.500,636
51.500,557
52.500,557
53.500,511
54.500,444
55.500,409
56.500,340
57.500,343
58.500,296
59.500,284
60.500,263
61.500,235
62.500,229
63.500,237
64.500,225
65.500,210
66.500,200
67.500,202
68.500,162
69.500,172
70.500,174
71.500,145
72.500,149
73.500,138
74.500,150
75.500,156
76.500,147
77.500,139
78.500,142
79.500,144
80.500,160
81.500,155
82.500,162
83.500,134
84.500,153
85.500,170
86.500,161
87.500,150
88.500,154
89.500,166
