Orientation,Slice1
-89.500,1397
-88.500,1212
-87.500,1300
-86.500,1272
-85.500,1358
-84.500,1398
-83.500,1444
-82.500,1398
-81.500,1396
-80.500,1442
-79.500,1470
-78.500,1351
-77.500,1381
-76.500,1507
-75.500,1583
-74.500,1584
-73.500,1569
-72.500,1554
-71.500,1621
-70.500,1646
-69.500,1696
-68.500,1692
-67.500,1741
-66.500,1791
-65.500,1823
-64.500,1907
-63.500,1906
-62.500,1921
-61.500,2009
-60.500,2144
-59.500,2186
-58.500,2243
-57.500,2259
-56.500,2365
-55.500,2354
-54.500,2405
-53.500,2410
-52.500,2469
-51.500,2695
-50.500,2724
-49.500,2751
-48.500,2894
-47.500,3038
-46.500,3044
-45.500,3198
-44.500,3302
-43.500,3405
-42.500,3502
-41.500,3598
-40.500,3840
-39.500,3852
-38.500,4019
-37.500,4114
-36.500,4232
-35.500,4281
-34.500,4575
-33.500,4682
-32.500,4672
-31.500,5040
-30.500,5152
-29.500,5409
-28.500,5794
-27.500,6078
-26.500,6587
-25.500,6753
-24.500,7152
-23.500,7373
-22.500,7765
-21.500,8285
-20.500,8690
-19.500,9686
-18.500,10003
-17.500,10440
-16.500,11192
-15.500,11818
-14.500,12575
-13.500,13359
-12.500,14231
-11.500,15023
-10.500,15737
-9.500,16440
-8.500,17311
-7.500,17681
-6.500,18176
-5.500,19003
-4.500,19653
-3.500,19965
-2.500,19944
-1.500,20029
-0.500,19380
0.500,19232
1.500,18648
2.500,17913
3.500,17113
4.500,16504
5.500,16045
6.500,15656
7.500,15174
8.500,15262
9.500,14333
10.500,13773
11.500,13309
12.500,12676
13.500,12018
14.500,11450
15.500,10885
16.500,10281
17.500,9877
18.500,9408
19.500,8896
20.500,8516
21.500,8193
22.500,7892
23.500,7266
24.500,7235
25.500,6949
26.500,6550
27.500,6158
28.500,5903
29.500,5750
30.500,5334
31.500,5139
32.500,4862
33.500,4648
34.500,4338
35.500,4139
36.500,3902
37.500,3627
38.500,3447
39.500,3245
40.500,3176
41.500,3058
42.500,2935
43.500,2839
44.500,2723
45.500,2625
46.500,2648
47.500,2445
48.500,2330
49.500,2286
50.500,2273
51.500,2237
52.500,2143
53.500,2063
54.500,2011
55.500,1949
56.500,1947
57.500,1889
58.500,1744
59.500,1752
60.500,1744
61.500,1689
62.500,1649
63.500,1645
64.500,1556
65.500,1586
66.500,1579
67.500,1515
68.500,1545
69.500,1564
70.500,1645
71.500,1535
72.500,1493
73.500,1549
74.500,1650
75.500,1523
76.500,1519
77.500,1534
78.500,1396
79.500,1466
80.500,1443
81.500,1537
82.500,1477
83.500,1537
84.500,1491
85.500,1492
86.500,1373
87.500,1429
88.500,1435
89.500,1369
