Orientation,Slice1
-89.500,2372
-88.500,2390
-87.500,2398
-86.500,2369
-85.500,2375
-84.500,2468
-83.500,2492
-82.500,2488
-81.500,2455
-80.500,2363
-79.500,2514
-78.500,2531
-77.500,2533
-76.500,2557
-75.500,2435
-74.500,2528
-73.500,2525
-72.500,2583
-71.500,2568
-70.500,2611
-69.500,2621
-68.500,2759
-67.500,2850
-66.500,2816
-65.500,2861
-64.500,2870
-63.500,2887
-62.500,2933
-61.500,2924
-60.500,3064
-59.500,3278
-58.500,3206
-57.500,3322
-56.500,3377
-55.500,3556
-54.500,3556
-53.500,3618
-52.500,3643
-51.500,3879
-50.500,4053
-49.500,4229
-48.500,4095
-47.500,4438
-46.500,4449
-45.500,4765
-44.500,4875
-43.500,4917
-42.500,5106
-41.500,5304
-40.500,5730
-39.500,5968
-38.500,6440
-37.500,6594
-36.500,6845
-35.500,7249
-34.500,7397
-33.500,7731
-32.500,7885
-31.500,8365
-30.500,8654
-29.500,8907
-28.500,9380
-27.500,9925
-26.500,10525
-25.500,10948
-24.500,11456
-23.500,11779
-22.500,12602
-21.500,13111
-20.500,13587
-19.500,14129
-18.500,14472
-17.500,15294
-16.500,16074
-15.500,16706
-14.500,17258
-13.500,17885
-12.500,18380
-11.500,18661
-10.500,19604
-9.500,19877
-8.500,20066
-7.500,20428
-6.500,20595
-5.500,20392
-4.500,20779
-3.500,21076
-2.500,20778
-1.500,20329
-0.500,19989
0.500,19390
1.500,18583
2.500,18005
3.500,16915
4.500,15627
5.500,14830
6.500,14130
7.500,13547
8.500,12694
9.500,12103
10.500,11858
11.500,11382
12.500,10764
13.500,10294
14.500,9877
15.500,9534
16.500,9115
17.500,8618
18.500,8455
19.500,8049
20.500,7736
21.500,7455
22.500,7145
23.500,6857
24.500,6896
25.500,6472
26.500,6179
27.500,5857
28.500,5879
29.500,5655
30.500,5468
31.500,5167
32.500,5046
33.500,4831
34.500,4607
35.500,4377
36.500,4356
37.500,4266
38.500,4060
39.500,3870
40.500,3810
41.500,3686
42.500,3528
43.500,3343
44.500,3328
45.500,3198
46.500,3133
47.500,3005
48.500,2994
49.500,2923
50.500,2859
51.500,2784
52.500,2726
53.500,2745
54.500,2532
55.500,2462
56.500,2444
57.500,2346
58.500,2286
59.500,2335
60.500,2370
61.500,2294
62.500,2266
63.500,2305
64.500,2346
65.500,2245
66.500,2239
67.500,2225
68.500,2251
69.500,2319
70.500,2325
71.500,2285
72.500,2176
73.500,2230
74.500,2309
75.500,2138
76.500,2235
77.500,2177
78.500,2126
79.500,2281
80.500,2215
81.500,2152
82.500,2280
83.500,2290
84.500,2370
85.500,2302
86.500,2464
87.500,2347
88.500,2434
89.500,2448
