Orientation,Slice1
-89.500,2125
-88.500,2371
-87.500,2360
-86.500,2308
-85.500,2243
-84.500,2190
-83.500,2123
-82.500,2098
-81.500,2206
-80.500,2216
-79.500,2287
-78.500,2194
-77.500,2259
-76.500,2264
-75.500,2295
-74.500,2232
-73.500,2319
-72.500,2538
-71.500,2479
-70.500,2451
-69.500,2587
-68.500,2688
-67.500,2740
-66.500,2803
-65.500,2878
-64.500,2932
-63.500,3135
-62.500,3232
-61.500,3339
-60.500,3316
-59.500,3271
-58.500,3425
-57.500,3559
-56.500,3618
-55.500,3688
-54.500,4002
-53.500,4019
-52.500,4255
-51.500,4134
-50.500,4213
-49.500,4112
-48.500,4204
-47.500,4108
-46.500,4100
-45.500,4086
-44.500,4214
-43.500,4169
-42.500,4244
-41.500,4474
-40.500,4421
-39.500,4710
-38.500,4751
-37.500,4651
-36.500,4820
-35.500,4870
-34.500,4944
-33.500,5006
-32.500,5003
-31.500,5050
-30.500,5206
-29.500,5247
-28.500,5193
-27.500,5114
-26.500,5367
-25.500,5291
-24.500,5435
-23.500,5279
-22.500,5213
-21.500,5044
-20.500,5047
-19.500,5118
-18.500,5080
-17.500,5061
-16.500,5137
-15.500,5385
-14.500,5196
-13.500,5027
-12.500,5373
-11.500,5382
-10.500,5719
-9.500,5596
-8.500,5760
-7.500,5775
-6.500,5868
-5.500,6041
-4.500,6047
-3.500,6268
-2.500,6215
-1.500,6033
-0.500,6239
0.500,6145
1.500,6056
2.500,5925
3.500,5779
4.500,5735
5.500,5702
6.500,5822
7.500,5832
8.500,5787
9.500,5657
10.500,5564
11.500,5368
12.500,5236
13.500,5317
14.500,5147
15.500,5160
16.500,4841
17.500,4712
18.500,4634
19.500,4537
20.500,4312
21.500,4140
22.500,4054
23.500,3962
24.500,3894
25.500,3798
26.500,3765
27.500,3628
28.500,3439
29.500,3274
30.500,3313
31.500,3170
32.500,3094
33.500,2917
34.500,2913
35.500,2912
36.500,2830
37.500,2766
38.500,2516
39.500,2457
40.500,2386
41.500,2305
42.500,2283
43.500,2217
44.500,2213
45.500,2171
46.500,2035
47.500,1886
48.500,1772
49.500,1751
50.500,1802
51.500,1657
52.500,1699
53.500,1707
54.500,1642
55.500,1676
56.500,1693
57.500,1545
58.500,1619
59.500,1530
60.500,1480
61.500,1539
62.500,1440
63.500,1517
64.500,1533
65.500,1485
66.500,1525
67.500,1453
68.500,1524
69.500,1570
70.500,1461
71.500,1520
72.500,1562
73.500,1636
74.500,1634
75.500,1585
76.500,1580
77.500,1615
78.500,1607
79.500,1643
80.500,1639
81.500,1684
82.500,1755
83.500,1774
84.500,1795
85.500,1875
86.500,2018
87.500,1967
88.500,2070
89.500,2097
