Orientation,Slice1
-89.500,509
-88.500,571
-87.500,552
-86.500,585
-85.500,624
-84.500,560
-83.500,580
-82.500,563
-81.500,579
-80.500,593
-79.500,585
-78.500,587
-77.500,567
-76.500,601
-75.500,605
-74.500,624
-73.500,704
-72.500,600
-71.500,644
-70.500,663
-69.500,680
-68.500,713
-67.500,682
-66.500,799
-65.500,781
-64.500,757
-63.500,749
-62.500,805
-61.500,814
-60.500,824
-59.500,862
-58.500,828
-57.500,916
-56.500,912
-55.500,941
-54.500,1049
-53.500,1116
-52.500,1159
-51.500,1247
-50.500,1367
-49.500,1303
-48.500,1318
-47.500,1481
-46.500,1532
-45.500,1536
-44.500,1704
-43.500,1754
-42.500,1747
-41.500,1765
-40.500,1838
-39.500,1862
-38.500,1876
-37.500,1967
-36.500,2158
-35.500,2260
-34.500,2236
-33.500,2339
-32.500,2256
-31.500,2270
-30.500,2403
-29.500,2390
-28.500,2558
-27.500,2565
-26.500,2565
-25.500,2576
-24.500,2553
-23.500,2566
-22.500,2464
-21.500,2510
-20.500,2663
-19.500,2618
-18.500,2738
-17.500,2659
-16.500,2628
-15.500,2704
-14.500,2826
-13.500,2812
-12.500,2696
-11.500,2769
-10.500,2776
-9.500,2843
-8.500,2864
-7.500,3020
-6.500,2934
-5.500,2934
-4.500,2951
-3.500,3174
-2.500,3130
-1.500,3168
-0.500,3213
0.500,3345
1.500,3313
2.500,3395
3.500,3535
4.500,3444
5.500,3547
6.500,3595
7.500,3613
8.500,3697
9.500,3677
10.500,3832
11.500,3792
12.500,3960
13.500,3996
14.500,4048
15.500,3928
16.500,4009
17.500,4032
18.500,4087
19.500,4061
20.500,4054
21.500,3996
22.500,3949
23.500,3947
24.500,3857
25.500,3890
26.500,3743
27.500,3869
28.500,3780
29.500,3702
30.500,3634
31.500,3446
32.500,3297
33.500,3265
34.500,3074
35.500,3065
36.500,2843
37.500,2990
38.500,2831
39.500,2688
40.500,2614
41.500,2515
42.500,2377
43.500,2344
44.500,2162
45.500,2015
46.500,1828
47.500,1713
48.500,1648
49.500,1587
50.500,1460
51.500,1463
52.500,1466
53.500,1374
54.500,1317
55.500,1217
56.500,1094
57.500,1179
58.500,1058
59.500,1019
60.500,949
61.500,871
62.500,863
63.500,854
64.500,781
65.500,809
66.500,730
67.500,760
68.500,710
69.500,726
70.500,640
71.500,636
72.500,625
73.500,581
74.500,626
75.500,566
76.500,620
77.500,551
78.500,561
79.500,545
80.500,571
81.500,534
82.500,538
83.500,547
84.500,512
85.500,513
86.500,511
87.500,502
88.500,535
89.500,492
