Orientation,Slice1
-89.500,498
-88.500,466
-87.500,469
-86.500,527
-85.500,551
-84.500,514
-83.500,508
-82.500,502
-81.500,468
-80.500,475
-79.500,426
-78.500,451
-77.500,415
-76.500,402
-75.500,423
-74.500,421
-73.500,429
-72.500,484
-71.500,441
-70.500,458
-69.500,469
-68.500,460
-67.500,477
-66.500,456
-65.500,516
-64.500,545
-63.500,509
-62.500,582
-61.500,576
-60.500,544
-59.500,517
-58.500,538
-57.500,526
-56.500,576
-55.500,528
-54.500,564
-53.500,535
-52.500,567
-51.500,604
-50.500,691
-49.500,675
-48.500,640
-47.500,711
-46.500,650
-45.500,659
-44.500,652
-43.500,687
-42.500,691
-41.500,699
-40.500,732
-39.500,701
-38.500,731
-37.500,759
-36.500,710
-35.500,687
-34.500,653
-33.500,613
-32.500,643
-31.500,624
-30.500,588
-29.500,581
-28.500,619
-27.500,637
-26.500,565
-25.500,581
-24.500,628
-23.500,597
-22.500,659
-21.500,671
-20.500,702
-19.500,677
-18.500,687
-17.500,656
-16.500,694
-15.500,762
-14.500,719
-13.500,708
-12.500,801
-11.500,769
-10.500,865
-9.500,824
-8.500,965
-7.500,1034
-6.500,1024
-5.500,1163
-4.500,1154
-3.500,1155
-2.500,1216
-1.500,1260
-0.500,1360
0.500,1388
1.500,1433
2.500,1498
3.500,1547
4.500,1629
5.500,1746
6.500,1763
7.500,1957
8.500,1979
9.500,1985
10.500,2204
11.500,2326
12.500,2464
13.500,2630
14.500,2798
15.500,2813
16.500,2891
17.500,3089
18.500,2983
19.500,3153
20.500,3278
21.500,3401
22.500,3431
23.500,3655
24.500,3736
25.500,3830
26.500,3978
27.500,4055
28.500,4292
29.500,4247
30.500,4525
31.500,4590
32.500,4580
33.500,4406
34.500,4241
35.500,4204
36.500,3934
37.500,4051
38.500,4042
39.500,4048
40.500,3864
41.500,3566
42.500,3301
43.500,3308
44.500,3093
45.500,3020
46.500,2802
47.500,2586
48.500,2364
49.500,2305
50.500,2187
51.500,2133
52.500,2039
53.500,1833
54.500,1790
55.500,1617
56.500,1552
57.500,1434
58.500,1307
59.500,1238
60.500,1109
61.500,1150
62.500,1042
63.500,1040
64.500,865
65.500,805
66.500,814
67.500,743
68.500,745
69.500,692
70.500,701
71.500,641
72.500,633
73.500,595
74.500,608
75.500,641
76.500,603
77.500,537
78.500,561
79.500,609
80.500,528
81.500,539
82.500,501
83.500,496
84.500,468
85.500,497
86.500,541
87.500,520
88.500,516
89.500,524
