Orientation,Slice1
-89.500,415
-88.500,414
-87.500,432
-86.500,443
-85.500,417
-84.500,428
-83.500,416
-82.500,419
-81.500,432
-80.500,446
-79.500,430
-78.500,455
-77.500,471
-76.500,479
-75.500,424
-74.500,439
-73.500,452
-72.500,440
-71.500,518
-70.500,535
-69.500,551
-68.500,522
-67.500,518
-66.500,507
-65.500,572
-64.500,646
-63.500,649
-62.500,648
-61.500,659
-60.500,720
-59.500,775
-58.500,769
-57.500,887
-56.500,870
-55.500,1043
-54.500,1055
-53.500,1148
-52.500,1185
-51.500,1133
-50.500,1170
-49.500,1274
-48.500,1272
-47.500,1287
-46.500,1338
-45.500,1455
-44.500,1483
-43.500,1425
-42.500,1405
-41.500,1526
-40.500,1627
-39.500,1597
-38.500,1683
-37.500,1711
-36.500,1702
-35.500,1802
-34.500,1910
-33.500,1850
-32.500,1968
-31.500,1888
-30.500,1900
-29.500,1890
-28.500,1920
-27.500,1982
-26.500,1950
-25.500,1957
-24.500,2009
-23.500,1988
-22.500,2187
-21.500,2140
-20.500,2200
-19.500,2255
-18.500,2218
-17.500,2274
-16.500,2286
-15.500,2368
-14.500,2389
-13.500,2496
-12.500,2596
-11.500,2610
-10.500,2511
-9.500,2582
-8.500,2600
-7.500,2631
-6.500,2717
-5.500,2716
-4.500,2781
-3.500,2720
-2.500,2886
-1.500,2869
-0.500,2961
0.500,3071
1.500,3146
2.500,3232
3.500,3361
4.500,3556
5.500,3486
6.500,3610
7.500,3734
8.500,3887
9.500,3809
10.500,3887
11.500,4180
12.500,4165
13.500,4269
14.500,4263
15.500,4331
16.500,4480
17.500,4314
18.500,4417
19.500,4324
20.500,4538
21.500,4392
22.500,4379
23.500,4454
24.500,4490
25.500,4543
26.500,4468
27.500,4361
28.500,4427
29.500,4288
30.500,4347
31.500,4267
32.500,4126
33.500,4182
34.500,4058
35.500,3915
36.500,3797
37.500,3582
38.500,3490
39.500,3280
40.500,3348
41.500,3079
42.500,2904
43.500,2830
44.500,2679
45.500,2457
46.500,2296
47.500,2197
48.500,1968
49.500,1821
50.500,1684
51.500,1560
52.500,1461
53.500,1351
54.500,1304
55.500,1261
56.500,1167
57.500,1058
58.500,995
59.500,1031
60.500,961
61.500,894
62.500,806
63.500,862
64.500,791
65.500,791
66.500,699
67.500,693
68.500,691
69.500,681
70.500,625
71.500,651
72.500,637
73.500,664
74.500,636
75.500,571
76.500,623
77.500,557
78.500,578
79.500,495
80.500,536
81.500,467
82.500,470
83.500,487
84.500,463
85.500,452
86.500,436
87.500,458
88.500,443
89.500,427
