Orientation,Slice1
-89.500,203
-88.500,197
-87.500,205
-86.500,215
-85.500,208
-84.500,228
-83.500,280
-82.500,257
-81.500,289
-80.500,287
-79.500,239
-78.500,243
-77.500,248
-76.500,205
-75.500,204
-74.500,184
-73.500,170
-72.500,209
-71.500,207
-70.500,192
-69.500,220
-68.500,220
-67.500,191
-66.500,221
-65.500,204
-64.500,251
-63.500,273
-62.500,263
-61.500,314
-60.500,278
-59.500,301
-58.500,283
-57.500,317
-56.500,314
-55.500,295
-54.500,331
-53.500,306
-52.500,301
-51.500,335
-50.500,314
-49.500,401
-48.500,378
-47.500,370
-46.500,333
-45.500,371
-44.500,366
-43.500,360
-42.500,330
-41.500,363
-40.500,368
-39.500,429
-38.500,369
-37.500,387
-36.500,401
-35.500,399
-34.500,452
-33.500,465
-32.500,499
-31.500,488
-30.500,538
-29.500,556
-28.500,636
-27.500,633
-26.500,642
-25.500,665
-24.500,724
-23.500,732
-22.500,747
-21.500,801
-20.500,918
-19.500,963
-18.500,978
-17.500,1103
-16.500,1128
-15.500,1183
-14.500,1289
-13.500,1331
-12.500,1367
-11.500,1545
-10.500,1543
-9.500,1717
-8.500,1753
-7.500,1922
-6.500,1973
-5.500,1986
-4.500,2085
-3.500,2238
-2.500,2347
-1.500,2485
-0.500,2625
0.500,2752
1.500,2768
2.500,3022
3.500,3218
4.500,3447
5.500,3634
6.500,3882
7.500,4231
8.500,4483
9.500,4605
10.500,4688
11.500,5014
12.500,5037
13.500,5233
14.500,5192
15.500,5622
16.500,5662
17.500,5657
18.500,5759
19.500,5761
20.500,5746
21.500,5918
22.500,6061
23.500,5827
24.500,5732
25.500,5750
26.500,5371
27.500,5191
28.500,5053
29.500,4862
30.500,4592
31.500,4503
32.500,4228
33.500,3964
34.500,3641
35.500,3311
36.500,3133
37.500,2916
38.500,2630
39.500,2271
40.500,2249
41.500,1975
42.500,1831
43.500,1568
44.500,1364
45.500,1217
46.500,1098
47.500,1026
48.500,952
49.500,883
50.500,759
51.500,780
52.500,702
53.500,633
54.500,597
55.500,560
56.500,506
57.500,494
58.500,455
59.500,489
60.500,393
61.500,435
62.500,415
63.500,393
64.500,403
65.500,365
66.500,320
67.500,324
68.500,289
69.500,267
70.500,247
71.500,288
72.500,255
73.500,241
74.500,241
75.500,268
76.500,245
77.500,211
78.500,225
79.500,187
80.500,224
81.500,197
82.500,183
83.500,184
84.500,207
85.500,181
86.500,175
87.500,216
88.500,175
89.500,177
