Orientation,Slice1
-89.500,1107
-88.500,1095
-87.500,1101
-86.500,1145
-85.500,1113
-84.500,1070
-83.500,1106
-82.500,1033
-81.500,1109
-80.500,1083
-79.500,1068
-78.500,1071
-77.500,1133
-76.500,1061
-75.500,1034
-74.500,1115
-73.500,1087
-72.500,1148
-71.500,1108
-70.500,1154
-69.500,1136
-68.500,1161
-67.500,1119
-66.500,1146
-65.500,1109
-64.500,1082
-63.500,1183
-62.500,1207
-61.500,1113
-60.500,1164
-59.500,1203
-58.500,1268
-57.500,1191
-56.500,1145
-55.500,1183
-54.500,1121
-53.500,1178
-52.500,1220
-51.500,1306
-50.500,1275
-49.500,1271
-48.500,1338
-47.500,1345
-46.500,1343
-45.500,1468
-44.500,1473
-43.500,1515
-42.500,1475
-41.500,1534
-40.500,1464
-39.500,1538
-38.500,1515
-37.500,1450
-36.500,1532
-35.500,1526
-34.500,1499
-33.500,1480
-32.500,1523
-31.500,1554
-30.500,1499
-29.500,1478
-28.500,1562
-27.500,1540
-26.500,1591
-25.500,1535
-24.500,1661
-23.500,1667
-22.500,1680
-21.500,1606
-20.500,1551
-19.500,1628
-18.500,1459
-17.500,1571
-16.500,1628
-15.500,1652
-14.500,1555
-13.500,1572
-12.500,1637
-11.500,1612
-10.500,1604
-9.500,1641
-8.500,1644
-7.500,1677
-6.500,1642
-5.500,1652
-4.500,1734
-3.500,1810
-2.500,1853
-1.500,1829
-0.500,1828
0.500,1888
1.500,1753
2.500,1733
3.500,1869
4.500,1858
5.500,1855
6.500,1896
7.500,1913
8.500,1885
9.500,2025
10.500,2000
11.500,2072
12.500,2082
13.500,2032
14.500,2032
15.500,2024
16.500,1949
17.500,2087
18.500,2101
19.500,2206
20.500,2165
21.500,2157
22.500,2147
23.500,2229
24.500,2216
25.500,2256
26.500,2352
27.500,2325
28.500,2366
29.500,2296
30.500,2269
31.500,2265
32.500,2323
33.500,2391
34.500,2331
35.500,2236
36.500,2294
37.500,2289
38.500,2283
39.500,2255
40.500,2092
41.500,2186
42.500,2279
43.500,2289
44.500,2231
45.500,2200
46.500,2170
47.500,2102
48.500,2046
49.500,2014
50.500,1897
51.500,1908
52.500,1897
53.500,1861
54.500,1685
55.500,1652
56.500,1603
57.500,1582
58.500,1671
59.500,1517
60.500,1624
61.500,1575
62.500,1530
63.500,1456
64.500,1453
65.500,1472
66.500,1371
67.500,1308
68.500,1311
69.500,1319
70.500,1288
71.500,1283
72.500,1241
73.500,1241
74.500,1196
75.500,1173
76.500,1216
77.500,1225
78.500,1220
79.500,1190
80.500,1102
81.500,1132
82.500,1112
83.500,1082
84.500,1115
85.500,1036
86.500,1050
87.500,1089
88.500,1103
89.500,1128
