Orientation,Slice1
-89.500,792
-88.500,695
-87.500,729
-86.500,779
-85.500,825
-84.500,753
-83.500,757
-82.500,807
-81.500,846
-80.500,771
-79.500,798
-78.500,790
-77.500,742
-76.500,810
-75.500,829
-74.500,781
-73.500,786
-72.500,785
-71.500,786
-70.500,777
-69.500,756
-68.500,818
-67.500,804
-66.500,870
-65.500,908
-64.500,841
-63.500,839
-62.500,897
-61.500,959
-60.500,1014
-59.500,1035
-58.500,1047
-57.500,1035
-56.500,1133
-55.500,1181
-54.500,1264
-53.500,1238
-52.500,1399
-51.500,1429
-50.500,1420
-49.500,1551
-48.500,1584
-47.500,1692
-46.500,1814
-45.500,1850
-44.500,2019
-43.500,2061
-42.500,2137
-41.500,2312
-40.500,2405
-39.500,2532
-38.500,2664
-37.500,2815
-36.500,2858
-35.500,2968
-34.500,3114
-33.500,3270
-32.500,3455
-31.500,3770
-30.500,3772
-29.500,3956
-28.500,4241
-27.500,4505
-26.500,4417
-25.500,4603
-24.500,4815
-23.500,5183
-22.500,5209
-21.500,5324
-20.500,5749
-19.500,5850
-18.500,6190
-17.500,6442
-16.500,6683
-15.500,6921
-14.500,7288
-13.500,7788
-12.500,8080
-11.500,8061
-10.500,8270
-9.500,8416
-8.500,8693
-7.500,9024
-6.500,9319
-5.500,9515
-4.500,9868
-3.500,9809
-2.500,9974
-1.500,10297
-0.500,9956
0.500,10053
1.500,9729
2.500,9231
3.500,8972
4.500,8611
5.500,8382
6.500,7988
7.500,7518
8.500,7089
9.500,6824
10.500,6369
11.500,5892
12.500,5708
13.500,5296
14.500,4972
15.500,4896
16.500,4519
17.500,4099
18.500,3958
19.500,3833
20.500,3624
21.500,3535
22.500,3356
23.500,3246
24.500,3114
25.500,2929
26.500,2808
27.500,2661
28.500,2579
29.500,2528
30.500,2368
31.500,2327
32.500,2124
33.500,2089
34.500,2106
35.500,2049
36.500,1979
37.500,1908
38.500,1894
39.500,1884
40.500,1779
41.500,1678
42.500,1728
43.500,1603
44.500,1569
45.500,1464
46.500,1462
47.500,1480
48.500,1415
49.500,1371
50.500,1308
51.500,1310
52.500,1297
53.500,1282
54.500,1258
55.500,1179
56.500,1157
57.500,1175
58.500,1055
59.500,1085
60.500,997
61.500,978
62.500,922
63.500,906
64.500,865
65.500,903
66.500,853
67.500,873
68.500,808
69.500,813
70.500,857
71.500,849
72.500,837
73.500,796
74.500,790
75.500,799
76.500,755
77.500,769
78.500,757
79.500,764
80.500,759
81.500,750
82.500,818
83.500,756
84.500,801
85.500,802
86.500,777
87.500,797
88.500,830
89.500,794
