Orientation,Slice1
-89.500,339
-88.500,353
-87.500,319
-86.500,310
-85.500,296
-84.500,329
-83.500,329
-82.500,352
-81.500,334
-80.500,328
-79.500,323
-78.500,337
-77.500,344
-76.500,362
-75.500,354
-74.500,346
-73.500,323
-72.500,379
-71.500,346
-70.500,408
-69.500,347
-68.500,350
-67.500,330
-66.500,405
-65.500,403
-64.500,421
-63.500,472
-62.500,439
-61.500,525
-60.500,487
-59.500,501
-58.500,505
-57.500,572
-56.500,591
-55.500,610
-54.500,634
-53.500,627
-52.500,652
-51.500,665
-50.500,713
-49.500,764
-48.500,822
-47.500,805
-46.500,900
-45.500,950
-44.500,984
-43.500,1015
-42.500,1122
-41.500,1098
-40.500,1100
-39.500,1176
-38.500,1230
-37.500,1204
-36.500,1306
-35.500,1322
-34.500,1361
-33.500,1316
-32.500,1374
-31.500,1390
-30.500,1428
-29.500,1448
-28.500,1451
-27.500,1570
-26.500,1521
-25.500,1533
-24.500,1575
-23.500,1632
-22.500,1650
-21.500,1683
-20.500,1669
-19.500,1644
-18.500,1722
-17.500,1707
-16.500,1780
-15.500,1836
-14.500,1924
-13.500,2008
-12.500,2025
-11.500,2010
-10.500,2198
-9.500,2150
-8.500,2174
-7.500,2130
-6.500,2174
-5.500,2181
-4.500,2280
-3.500,2257
-2.500,2328
-1.500,2415
-0.500,2609
0.500,2742
1.500,2752
2.500,2758
3.500,2712
4.500,2753
5.500,2712
6.500,2769
7.500,2676
8.500,2651
9.500,2579
10.500,2651
11.500,2633
12.500,2708
13.500,2691
14.500,2661
15.500,2651
16.500,2509
17.500,2536
18.500,2357
19.500,2353
20.500,2234
21.500,2205
22.500,2133
23.500,2156
24.500,2174
25.500,2076
26.500,2043
27.500,2030
28.500,2006
29.500,1961
30.500,2089
31.500,2084
32.500,1902
33.500,1832
34.500,1750
35.500,1742
36.500,1575
37.500,1598
38.500,1561
39.500,1553
40.500,1492
41.500,1433
42.500,1385
43.500,1339
44.500,1299
45.500,1287
46.500,1272
47.500,1231
48.500,1152
49.500,985
50.500,976
51.500,864
52.500,902
53.500,828
54.500,818
55.500,759
56.500,727
57.500,775
58.500,704
59.500,716
60.500,664
61.500,664
62.500,640
63.500,553
64.500,529
65.500,540
66.500,508
67.500,513
68.500,461
69.500,506
70.500,480
71.500,462
72.500,458
73.500,407
74.500,417
75.500,378
76.500,353
77.500,347
78.500,364
79.500,344
80.500,391
81.500,319
82.500,356
83.500,352
84.500,352
85.500,381
86.500,413
87.500,363
88.500,352
89.500,368
