Orientation,Slice1
-89.500,172
-88.500,161
-87.500,192
-86.500,179
-85.500,186
-84.500,189
-83.500,182
-82.500,173
-81.500,181
-80.500,192
-79.500,174
-78.500,182
-77.500,199
-76.500,202
-75.500,217
-74.500,228
-73.500,224
-72.500,230
-71.500,260
-70.500,257
-69.500,262
-68.500,245
-67.500,269
-66.500,286
-65.500,266
-64.500,256
-63.500,309
-62.500,328
-61.500,325
-60.500,349
-59.500,351
-58.500,382
-57.500,377
-56.500,447
-55.500,504
-54.500,501
-53.500,593
-52.500,597
-51.500,616
-50.500,609
-49.500,722
-48.500,773
-47.500,750
-46.500,813
-45.500,822
-44.500,943
-43.500,916
-42.500,1009
-41.500,1041
-40.500,1144
-39.500,1296
-38.500,1358
-37.500,1391
-36.500,1643
-35.500,1589
-34.500,1814
-33.500,1831
-32.500,1816
-31.500,1998
-30.500,2005
-29.500,2141
-28.500,2217
-27.500,2440
-26.500,2520
-25.500,2557
-24.500,2759
-23.500,2773
-22.500,2814
-21.500,3021
-20.500,3086
-19.500,3065
-18.500,3055
-17.500,3201
-16.500,3293
-15.500,3467
-14.500,3504
-13.500,3614
-12.500,3797
-11.500,3744
-10.500,3779
-9.500,3943
-8.500,3918
-7.500,4060
-6.500,4078
-5.500,4195
-4.500,4170
-3.500,4213
-2.500,4194
-1.500,4093
-0.500,4128
0.500,4065
1.500,4008
2.500,4162
3.500,4034
4.500,3823
5.500,4008
6.500,4048
7.500,3819
8.500,3803
9.500,3715
10.500,3590
11.500,3509
12.500,3324
13.500,3545
14.500,3435
15.500,3520
16.500,3433
17.500,3343
18.500,3266
19.500,3169
20.500,3109
21.500,3030
22.500,3018
23.500,2923
24.500,2941
25.500,2791
26.500,2587
27.500,2505
28.500,2389
29.500,2233
30.500,2088
31.500,2013
32.500,1831
33.500,1814
34.500,1669
35.500,1596
36.500,1515
37.500,1368
38.500,1372
39.500,1191
40.500,1113
41.500,1087
42.500,989
43.500,933
44.500,826
45.500,869
46.500,788
47.500,722
48.500,699
49.500,604
50.500,588
51.500,525
52.500,531
53.500,453
54.500,458
55.500,460
56.500,386
57.500,381
58.500,356
59.500,326
60.500,289
61.500,333
62.500,314
63.500,285
64.500,273
65.500,279
66.500,259
67.500,254
68.500,238
69.500,213
70.500,208
71.500,207
72.500,207
73.500,198
74.500,216
75.500,192
76.500,221
77.500,208
78.500,222
79.500,230
80.500,236
81.500,209
82.500,214
83.500,233
84.500,203
85.500,216
86.500,181
87.500,187
88.500,185
89.500,189
