Orientation,Slice1
-89.500,6275
-88.500,6586
-87.500,6565
-86.500,7106
-85.500,7306
-84.500,7445
-83.500,7569
-82.500,7702
-81.500,7685
-80.500,8032
-79.500,8335
-78.500,8449
-77.500,8756
-76.500,9325
-75.500,9363
-74.500,9388
-73.500,9780
-72.500,10084
-71.500,10099
-70.500,10321
-69.500,10586
-68.500,10921
-67.500,10963
-66.500,10936
-65.500,11103
-64.500,11024
-63.500,10944
-62.500,10867
-61.500,10914
-60.500,10995
-59.500,10865
-58.500,10778
-57.500,10654
-56.500,10409
-55.500,10190
-54.500,10099
-53.500,10010
-52.500,9817
-51.500,9824
-50.500,9735
-49.500,9573
-48.500,9426
-47.500,9257
-46.500,9173
-45.500,9180
-44.500,8969
-43.500,8904
-42.500,8852
-41.500,8721
-40.500,8872
-39.500,8668
-38.500,8628
-37.500,8783
-36.500,8637
-35.500,8621
-34.500,8500
-33.500,8371
-32.500,8415
-31.500,8457
-30.500,8402
-29.500,8447
-28.500,8443
-27.500,8364
-26.500,8530
-25.500,8501
-24.500,8537
-23.500,8421
-22.500,8390
-21.500,8492
-20.500,8263
-19.500,8535
-18.500,8731
-17.500,8588
-16.500,8635
-15.500,8474
-14.500,8361
-13.500,8483
-12.500,8561
-11.500,8424
-10.500,8629
-9.500,8563
-8.500,8667
-7.500,8711
-6.500,8826
-5.500,8872
-4.500,8778
-3.500,9092
-2.500,8959
-1.500,9301
-0.500,9361
0.500,9625
1.500,9726
2.500,9850
3.500,9511
4.500,9815
5.500,9738
6.500,9950
7.500,9874
8.500,9999
9.500,10031
10.500,9960
11.500,10128
12.500,10233
13.500,9909
14.500,10044
15.500,9996
16.500,10109
17.500,9756
18.500,9782
19.500,9653
20.500,9601
21.500,9519
22.500,9346
23.500,9044
24.500,9025
25.500,8570
26.500,8343
27.500,8357
28.500,7920
29.500,7655
30.500,7276
31.500,7145
32.500,6811
33.500,6606
34.500,6434
35.500,6035
36.500,6058
37.500,5769
38.500,5573
39.500,5469
40.500,5451
41.500,5403
42.500,5405
43.500,5301
44.500,4949
45.500,4896
46.500,4873
47.500,4653
48.500,4700
49.500,4545
50.500,4484
51.500,4329
52.500,4333
53.500,4333
54.500,4137
55.500,4178
56.500,4234
57.500,4117
58.500,4016
59.500,4037
60.500,3901
61.500,3959
62.500,3886
63.500,3715
64.500,3835
65.500,3680
66.500,3744
67.500,3793
68.500,3770
69.500,3827
70.500,3857
71.500,3859
72.500,3900
73.500,4010
74.500,4104
75.500,4106
76.500,4056
77.500,4144
78.500,4248
79.500,4367
80.500,4419
81.500,4633
82.500,4704
83.500,4701
84.500,4851
85.500,4934
86.500,5127
87.500,5404
88.500,5585
89.500,5941
