Orientation,Slice1
-89.500,532
-88.500,569
-87.500,581
-86.500,614
-85.500,603
-84.500,608
-83.500,631
-82.500,628
-81.500,615
-80.500,621
-79.500,635
-78.500,626
-77.500,633
-76.500,664
-75.500,626
-74.500,608
-73.500,654
-72.500,617
-71.500,666
-70.500,633
-69.500,721
-68.500,756
-67.500,764
-66.500,742
-65.500,771
-64.500,797
-63.500,791
-62.500,791
-61.500,829
-60.500,925
-59.500,971
-58.500,986
-57.500,1003
-56.500,1065
-55.500,1063
-54.500,1119
-53.500,1253
-52.500,1208
-51.500,1308
-50.500,1291
-49.500,1284
-48.500,1347
-47.500,1475
-46.500,1606
-45.500,1624
-44.500,1622
-43.500,1639
-42.500,1759
-41.500,1726
-40.500,1774
-39.500,1877
-38.500,1951
-37.500,2053
-36.500,2068
-35.500,2224
-34.500,2220
-33.500,2502
-32.500,2610
-31.500,2677
-30.500,2882
-29.500,2950
-28.500,3060
-27.500,3068
-26.500,3081
-25.500,3239
-24.500,3477
-23.500,3707
-22.500,3932
-21.500,3893
-20.500,4135
-19.500,4098
-18.500,4252
-17.500,4333
-16.500,4373
-15.500,4546
-14.500,4588
-13.500,4841
-12.500,5127
-11.500,5195
-10.500,5345
-9.500,5422
-8.500,5654
-7.500,5762
-6.500,5786
-5.500,5918
-4.500,6191
-3.500,6075
-2.500,6487
-1.500,6496
-0.500,6422
0.500,6588
1.500,6725
2.500,6751
3.500,6650
4.500,6601
5.500,6871
6.500,6797
7.500,6763
8.500,6660
9.500,6914
10.500,6761
11.500,6398
12.500,6240
13.500,6195
14.500,6269
15.500,6054
16.500,6112
17.500,6177
18.500,5995
19.500,6127
20.500,5926
21.500,6116
22.500,6177
23.500,6052
24.500,6044
25.500,5728
26.500,5756
27.500,5670
28.500,5649
29.500,5454
30.500,5500
31.500,5298
32.500,5509
33.500,5186
34.500,5054
35.500,4936
36.500,4739
37.500,4694
38.500,4534
39.500,4422
40.500,4199
41.500,4126
42.500,3727
43.500,3535
44.500,3236
45.500,3151
46.500,2891
47.500,2629
48.500,2401
49.500,2253
50.500,2149
51.500,2003
52.500,1834
53.500,1741
54.500,1676
55.500,1644
56.500,1570
57.500,1472
58.500,1460
59.500,1343
60.500,1309
61.500,1188
62.500,1106
63.500,1009
64.500,1038
65.500,946
66.500,881
67.500,886
68.500,833
69.500,775
70.500,771
71.500,735
72.500,733
73.500,672
74.500,653
75.500,603
76.500,621
77.500,585
78.500,598
79.500,596
80.500,577
81.500,602
82.500,527
83.500,520
84.500,490
85.500,533
86.500,526
87.500,511
88.500,518
89.500,539
