Orientation,Slice1
-89.500,772
-88.500,683
-87.500,728
-86.500,811
-85.500,753
-84.500,840
-83.500,730
-82.500,727
-81.500,819
-80.500,789
-79.500,848
-78.500,790
-77.500,843
-76.500,894
-75.500,874
-74.500,921
-73.500,942
-72.500,961
-71.500,1005
-70.500,1095
-69.500,1269
-68.500,1295
-67.500,1345
-66.500,1410
-65.500,1439
-64.500,1517
-63.500,1573
-62.500,1695
-61.500,1777
-60.500,1883
-59.500,1962
-58.500,2250
-57.500,2307
-56.500,2539
-55.500,2746
-54.500,2896
-53.500,3129
-52.500,3479
-51.500,3568
-50.500,3837
-49.500,4125
-48.500,4157
-47.500,4421
-46.500,4400
-45.500,4566
-44.500,4757
-43.500,4864
-42.500,4892
-41.500,4898
-40.500,5079
-39.500,4937
-38.500,5052
-37.500,5051
-36.500,5176
-35.500,4970
-34.500,4921
-33.500,5000
-32.500,4882
-31.500,4786
-30.500,4717
-29.500,4540
-28.500,4625
-27.500,4746
-26.500,4537
-25.500,4478
-24.500,4409
-23.500,4256
-22.500,4086
-21.500,3993
-20.500,4005
-19.500,3751
-18.500,3817
-17.500,3856
-16.500,3696
-15.500,3764
-14.500,3804
-13.500,3783
-12.500,3787
-11.500,3973
-10.500,3790
-9.500,3896
-8.500,3945
-7.500,4039
-6.500,4069
-5.500,3869
-4.500,3700
-3.500,3741
-2.500,3704
-1.500,3716
-0.500,3763
0.500,3769
1.500,3778
2.500,3783
3.500,3840
4.500,3731
5.500,3931
6.500,3816
7.500,3949
8.500,4155
9.500,4247
10.500,4420
11.500,4552
12.500,4570
13.500,4637
14.500,4558
15.500,4648
16.500,4772
17.500,4832
18.500,5018
19.500,5012
20.500,4945
21.500,5091
22.500,4966
23.500,4909
24.500,4912
25.500,4930
26.500,4824
27.500,4869
28.500,5018
29.500,5113
30.500,4782
31.500,4703
32.500,4533
33.500,4431
34.500,4326
35.500,4327
36.500,4081
37.500,3849
38.500,3541
39.500,3265
40.500,3072
41.500,2957
42.500,2768
43.500,2615
44.500,2467
45.500,2386
46.500,2004
47.500,1918
48.500,1789
49.500,1679
50.500,1602
51.500,1533
52.500,1375
53.500,1295
54.500,1285
55.500,1155
56.500,1021
57.500,1058
58.500,1043
59.500,1035
60.500,1020
61.500,1000
62.500,947
63.500,1015
64.500,993
65.500,975
66.500,992
67.500,943
68.500,839
69.500,923
70.500,857
71.500,798
72.500,738
73.500,770
74.500,689
75.500,704
76.500,719
77.500,736
78.500,712
79.500,694
80.500,746
81.500,800
82.500,803
83.500,775
84.500,697
85.500,708
86.500,758
87.500,771
88.500,726
89.500,740
