Orientation,Slice1
-89.500,1148
-88.500,1105
-87.500,1111
-86.500,1098
-85.500,1134
-84.500,1157
-83.500,1075
-82.500,1158
-81.500,1128
-80.500,1091
-79.500,1257
-78.500,1157
-77.500,1228
-76.500,1194
-75.500,1175
-74.500,1147
-73.500,1152
-72.500,1204
-71.500,1173
-70.500,1183
-69.500,1171
-68.500,1162
-67.500,1167
-66.500,1110
-65.500,1177
-64.500,1217
-63.500,1288
-62.500,1320
-61.500,1267
-60.500,1222
-59.500,1312
-58.500,1360
-57.500,1364
-56.500,1415
-55.500,1486
-54.500,1595
-53.500,1560
-52.500,1645
-51.500,1663
-50.500,1711
-49.500,1768
-48.500,1841
-47.500,2038
-46.500,2084
-45.500,2130
-44.500,2423
-43.500,2562
-42.500,2540
-41.500,2659
-40.500,2848
-39.500,3116
-38.500,3192
-37.500,3371
-36.500,3537
-35.500,3740
-34.500,4068
-33.500,4379
-32.500,4680
-31.500,4868
-30.500,5272
-29.500,5496
-28.500,5980
-27.500,6305
-26.500,6583
-25.500,6960
-24.500,7442
-23.500,8069
-22.500,8651
-21.500,9167
-20.500,9825
-19.500,10474
-18.500,11050
-17.500,11522
-16.500,11896
-15.500,12898
-14.500,13331
-13.500,14065
-12.500,14566
-11.500,14873
-10.500,15089
-9.500,15170
-8.500,15079
-7.500,14572
-6.500,14488
-5.500,14526
-4.500,14058
-3.500,13772
-2.500,13445
-1.500,13206
-0.500,12874
0.500,12278
1.500,12372
2.500,11714
3.500,11251
4.500,10744
5.500,10398
6.500,10016
7.500,9729
8.500,9614
9.500,9194
10.500,8749
11.500,8589
12.500,8350
13.500,7946
14.500,7765
15.500,7367
16.500,7126
17.500,6739
18.500,6394
19.500,6174
20.500,5914
21.500,5792
22.500,5637
23.500,5435
24.500,5310
25.500,5191
26.500,5083
27.500,4725
28.500,4612
29.500,4584
30.500,4589
31.500,4371
32.500,4197
33.500,4001
34.500,3772
35.500,3791
36.500,3536
37.500,3496
38.500,3374
39.500,3249
40.500,3091
41.500,3019
42.500,2933
43.500,2871
44.500,2733
45.500,2811
46.500,2671
47.500,2690
48.500,2657
49.500,2550
50.500,2487
51.500,2422
52.500,2367
53.500,2203
54.500,2160
55.500,2185
56.500,2101
57.500,2098
58.500,1987
59.500,2002
60.500,1988
61.500,1879
62.500,1892
63.500,1869
64.500,1850
65.500,1807
66.500,1766
67.500,1757
68.500,1626
69.500,1607
70.500,1716
71.500,1609
72.500,1610
73.500,1549
74.500,1542
75.500,1496
76.500,1479
77.500,1399
78.500,1400
79.500,1318
80.500,1335
81.500,1379
82.500,1317
83.500,1317
84.500,1278
85.500,1281
86.500,1272
87.500,1209
88.500,1215
89.500,1161
