Orientation,Slice1
-89.500,1388
-88.500,1375
-87.500,1402
-86.500,1397
-85.500,1406
-84.500,1372
-83.500,1387
-82.500,1325
-81.500,1324
-80.500,1369
-79.500,1317
-78.500,1328
-77.500,1295
-76.500,1360
-75.500,1394
-74.500,1387
-73.500,1408
-72.500,1333
-71.500,1434
-70.500,1359
-69.500,1330
-68.500,1351
-67.500,1305
-66.500,1293
-65.500,1309
-64.500,1350
-63.500,1444
-62.500,1333
-61.500,1418
-60.500,1471
-59.500,1462
-58.500,1553
-57.500,1547
-56.500,1629
-55.500,1630
-54.500,1600
-53.500,1650
-52.500,1690
-51.500,1727
-50.500,1800
-49.500,1887
-48.500,1893
-47.500,1977
-46.500,2090
-45.500,2075
-44.500,2163
-43.500,2246
-42.500,2280
-41.500,2512
-40.500,2542
-39.500,2494
-38.500,2626
-37.500,2626
-36.500,2783
-35.500,2885
-34.500,2970
-33.500,3166
-32.500,3309
-31.500,3372
-30.500,3565
-29.500,3680
-28.500,3888
-27.500,4102
-26.500,4258
-25.500,4376
-24.500,4501
-23.500,4682
-22.500,4742
-21.500,5095
-20.500,5379
-19.500,5435
-18.500,5605
-17.500,5911
-16.500,6020
-15.500,6134
-14.500,6486
-13.500,6829
-12.500,7037
-11.500,7408
-10.500,7314
-9.500,7802
-8.500,7971
-7.500,8134
-6.500,8219
-5.500,8531
-4.500,9014
-3.500,9100
-2.500,9449
-1.500,9551
-0.500,9402
0.500,9550
1.500,9502
2.500,9785
3.500,9546
4.500,9173
5.500,8860
6.500,8808
7.500,8647
8.500,8065
9.500,8025
10.500,7513
11.500,7378
12.500,7202
13.500,6961
14.500,6704
15.500,6440
16.500,6222
17.500,6050
18.500,5731
19.500,5585
20.500,5312
21.500,5101
22.500,5005
23.500,4854
24.500,4707
25.500,4491
26.500,4284
27.500,4145
28.500,3998
29.500,3825
30.500,3756
31.500,3580
32.500,3665
33.500,3490
34.500,3482
35.500,3307
36.500,3165
37.500,3142
38.500,3038
39.500,3002
40.500,2882
41.500,2751
42.500,2753
43.500,2628
44.500,2583
45.500,2364
46.500,2290
47.500,2223
48.500,2245
49.500,2073
50.500,2032
51.500,1974
52.500,1948
53.500,1939
54.500,1891
55.500,1853
56.500,1823
57.500,1901
58.500,1727
59.500,1738
60.500,1715
61.500,1728
62.500,1640
63.500,1705
64.500,1699
65.500,1679
66.500,1591
67.500,1592
68.500,1578
69.500,1583
70.500,1519
71.500,1529
72.500,1442
73.500,1457
74.500,1453
75.500,1391
76.500,1423
77.500,1448
78.500,1369
79.500,1328
80.500,1403
81.500,1432
82.500,1378
83.500,1318
84.500,1327
85.500,1334
86.500,1295
87.500,1341
88.500,1383
89.500,1350
