Orientation,Slice1
-89.500,1689
-88.500,1595
-87.500,1583
-86.500,1570
-85.500,1603
-84.500,1576
-83.500,1458
-82.500,1459
-81.500,1359
-80.500,1387
-79.500,1436
-78.500,1356
-77.500,1345
-76.500,1367
-75.500,1363
-74.500,1284
-73.500,1318
-72.500,1302
-71.500,1345
-70.500,1318
-69.500,1303
-68.500,1346
-67.500,1349
-66.500,1397
-65.500,1405
-64.500,1410
-63.500,1378
-62.500,1367
-61.500,1402
-60.500,1447
-59.500,1509
-58.500,1503
-57.500,1465
-56.500,1467
-55.500,1561
-54.500,1563
-53.500,1632
-52.500,1717
-51.500,1689
-50.500,1791
-49.500,1738
-48.500,1907
-47.500,1929
-46.500,2025
-45.500,2062
-44.500,2114
-43.500,2150
-42.500,2296
-41.500,2347
-40.500,2510
-39.500,2571
-38.500,2593
-37.500,2879
-36.500,2968
-35.500,3025
-34.500,3166
-33.500,3448
-32.500,3671
-31.500,3952
-30.500,4197
-29.500,4487
-28.500,4762
-27.500,4947
-26.500,5308
-25.500,5674
-24.500,5946
-23.500,6155
-22.500,6778
-21.500,7227
-20.500,7405
-19.500,8030
-18.500,8570
-17.500,9138
-16.500,9858
-15.500,10388
-14.500,11082
-13.500,11923
-12.500,12559
-11.500,13602
-10.500,14157
-9.500,15137
-8.500,15733
-7.500,16280
-6.500,16644
-5.500,17019
-4.500,16824
-3.500,16904
-2.500,16791
-1.500,16757
-0.500,16743
0.500,16379
1.500,16128
2.500,15703
3.500,15447
4.500,15175
5.500,14861
6.500,14810
7.500,14527
8.500,13910
9.500,13576
10.500,12924
11.500,12467
12.500,12042
13.500,11651
14.500,11339
15.500,10715
16.500,10487
17.500,10158
18.500,9921
19.500,9628
20.500,9225
21.500,8942
22.500,8570
23.500,8257
24.500,7899
25.500,7611
26.500,7544
27.500,7193
28.500,6878
29.500,6527
30.500,6408
31.500,6117
32.500,5828
33.500,5451
34.500,5369
35.500,5120
36.500,4893
37.500,4543
38.500,4350
39.500,4296
40.500,4100
41.500,3819
42.500,3673
43.500,3562
44.500,3461
45.500,3347
46.500,3118
47.500,2916
48.500,2771
49.500,2651
50.500,2614
51.500,2451
52.500,2469
53.500,2310
54.500,2413
55.500,2214
56.500,1980
57.500,2039
58.500,1935
59.500,1906
60.500,1794
61.500,1784
62.500,1852
63.500,1830
64.500,1756
65.500,1822
66.500,1769
67.500,1809
68.500,1815
69.500,1901
70.500,1858
71.500,1882
72.500,1857
73.500,1913
74.500,1951
75.500,1873
76.500,1928
77.500,1894
78.500,1914
79.500,1867
80.500,1824
81.500,1922
82.500,1946
83.500,1835
84.500,1834
85.500,1887
86.500,1796
87.500,1775
88.500,1727
89.500,1757
