Orientation,Slice1
-89.500,1340
-88.500,1327
-87.500,1235
-86.500,1232
-85.500,1218
-84.500,1227
-83.500,1172
-82.500,1156
-81.500,1168
-80.500,1139
-79.500,1146
-78.500,1118
-77.500,1176
-76.500,1177
-75.500,1223
-74.500,1248
-73.500,1196
-72.500,1233
-71.500,1201
-70.500,1259
-69.500,1278
-68.500,1263
-67.500,1379
-66.500,1396
-65.500,1348
-64.500,1360
-63.500,1390
-62.500,1442
-61.500,1457
-60.500,1444
-59.500,1503
-58.500,1547
-57.500,1516
-56.500,1551
-55.500,1621
-54.500,1722
-53.500,1760
-52.500,1767
-51.500,1752
-50.500,1889
-49.500,1946
-48.500,2004
-47.500,2148
-46.500,2132
-45.500,2336
-44.500,2396
-43.500,2485
-42.500,2590
-41.500,2812
-40.500,2876
-39.500,3036
-38.500,3355
-37.500,3294
-36.500,3694
-35.500,3752
-34.500,4013
-33.500,4145
-32.500,4423
-31.500,4603
-30.500,4854
-29.500,5360
-28.500,5483
-27.500,5802
-26.500,6107
-25.500,6522
-24.500,6911
-23.500,7411
-22.500,7884
-21.500,8365
-20.500,8945
-19.500,9535
-18.500,10013
-17.500,10394
-16.500,10672
-15.500,11059
-14.500,11305
-13.500,11805
-12.500,12034
-11.500,12339
-10.500,12939
-9.500,13140
-8.500,13055
-7.500,13167
-6.500,13398
-5.500,13348
-4.500,13535
-3.500,13444
-2.500,13502
-1.500,13573
-0.500,13577
0.500,13263
1.500,13005
2.500,13011
3.500,13029
4.500,12994
5.500,12616
6.500,12707
7.500,12524
8.500,12330
9.500,11939
10.500,11720
11.500,11337
12.500,11312
13.500,11426
14.500,11173
15.500,10926
16.500,10697
17.500,10387
18.500,10159
19.500,9845
20.500,9706
21.500,9303
22.500,9030
23.500,8679
24.500,8407
25.500,8094
26.500,7822
27.500,7726
28.500,7425
29.500,7105
30.500,6775
31.500,6513
32.500,6150
33.500,5872
34.500,5797
35.500,5277
36.500,5050
37.500,4921
38.500,4765
39.500,4493
40.500,4311
41.500,3963
42.500,3769
43.500,3606
44.500,3398
45.500,3272
46.500,3224
47.500,3203
48.500,3147
49.500,2973
50.500,2951
51.500,2806
52.500,2650
53.500,2532
54.500,2513
55.500,2457
56.500,2302
57.500,2280
58.500,2292
59.500,2067
60.500,2145
61.500,1991
62.500,2051
63.500,1925
64.500,1863
65.500,1898
66.500,1903
67.500,1892
68.500,1799
69.500,1869
70.500,1818
71.500,1800
72.500,1846
73.500,1853
74.500,1813
75.500,1717
76.500,1745
77.500,1645
78.500,1537
79.500,1514
80.500,1562
81.500,1483
82.500,1499
83.500,1563
84.500,1458
85.500,1402
86.500,1350
87.500,1288
88.500,1321
89.500,1330
