Orientation,Slice1
-89.500,199
-88.500,197
-87.500,190
-86.500,193
-85.500,220
-84.500,203
-83.500,196
-82.500,206
-81.500,260
-80.500,207
-79.500,244
-78.500,266
-77.500,233
-76.500,274
-75.500,280
-74.500,274
-73.500,258
-72.500,266
-71.500,298
-70.500,289
-69.500,260
-68.500,287
-67.500,286
-66.500,260
-65.500,300
-64.500,302
-63.500,288
-62.500,372
-61.500,343
-60.500,350
-59.500,381
-58.500,370
-57.500,366
-56.500,389
-55.500,432
-54.500,489
-53.500,527
-52.500,527
-51.500,557
-50.500,661
-49.500,718
-48.500,813
-47.500,853
-46.500,913
-45.500,935
-44.500,988
-43.500,1072
-42.500,1128
-41.500,1269
-40.500,1428
-39.500,1590
-38.500,1651
-37.500,1838
-36.500,2064
-35.500,2162
-34.500,2382
-33.500,2467
-32.500,2637
-31.500,2648
-30.500,2770
-29.500,2778
-28.500,3039
-27.500,3029
-26.500,3365
-25.500,3594
-24.500,3705
-23.500,3799
-22.500,4143
-21.500,4170
-20.500,4100
-19.500,4255
-18.500,4337
-17.500,4582
-16.500,4702
-15.500,4754
-14.500,4859
-13.500,5131
-12.500,5343
-11.500,5364
-10.500,5528
-9.500,5730
-8.500,5710
-7.500,5736
-6.500,5733
-5.500,5719
-4.500,5960
-3.500,6083
-2.500,6029
-1.500,6153
-0.500,6258
0.500,6233
1.500,6443
2.500,6308
3.500,6342
4.500,6263
5.500,6358
6.500,6167
7.500,6021
8.500,6026
9.500,5998
10.500,5846
11.500,5709
12.500,5564
13.500,5419
14.500,5368
15.500,5252
16.500,5190
17.500,5157
18.500,4976
19.500,4724
20.500,4714
21.500,4410
22.500,4399
23.500,4231
24.500,4132
25.500,3959
26.500,4031
27.500,3974
28.500,3790
29.500,3583
30.500,3360
31.500,3052
32.500,2766
33.500,2489
34.500,2262
35.500,2174
36.500,1958
37.500,1831
38.500,1732
39.500,1631
40.500,1398
41.500,1349
42.500,1338
43.500,1197
44.500,1090
45.500,956
46.500,892
47.500,797
48.500,705
49.500,715
50.500,579
51.500,558
52.500,548
53.500,522
54.500,461
55.500,440
56.500,368
57.500,371
58.500,352
59.500,348
60.500,388
61.500,352
62.500,333
63.500,337
64.500,326
65.500,321
66.500,299
67.500,295
68.500,281
69.500,302
70.500,286
71.500,282
72.500,276
73.500,278
74.500,313
75.500,292
76.500,299
77.500,278
78.500,271
79.500,256
80.500,235
81.500,213
82.500,237
83.500,250
84.500,239
85.500,236
86.500,232
87.500,239
88.500,186
89.500,196
