Orientation,Slice1
-89.500,145
-88.500,139
-87.500,149
-86.500,149
-85.500,136
-84.500,141
-83.500,182
-82.500,150
-81.500,161
-80.500,174
-79.500,186
-78.500,183
-77.500,171
-76.500,192
-75.500,190
-74.500,167
-73.500,161
-72.500,166
-71.500,145
-70.500,177
-69.500,160
-68.500,175
-67.500,175
-66.500,177
-65.500,244
-64.500,249
-63.500,231
-62.500,241
-61.500,237
-60.500,256
-59.500,277
-58.500,280
-57.500,332
-56.500,330
-55.500,333
-54.500,370
-53.500,401
-52.500,422
-51.500,424
-50.500,520
-49.500,562
-48.500,541
-47.500,677
-46.500,750
-45.500,794
-44.500,869
-43.500,968
-42.500,969
-41.500,1133
-40.500,1218
-39.500,1427
-38.500,1568
-37.500,1843
-36.500,1885
-35.500,2090
-34.500,2062
-33.500,2373
-32.500,2475
-31.500,2703
-30.500,2799
-29.500,2969
-28.500,3327
-27.500,3403
-26.500,3493
-25.500,3820
-24.500,3877
-23.500,4105
-22.500,4216
-21.500,4374
-20.500,4556
-19.500,4576
-18.500,4900
-17.500,5094
-16.500,5143
-15.500,5592
-14.500,5550
-13.500,5620
-12.500,5800
-11.500,6029
-10.500,6119
-9.500,6168
-8.500,6479
-7.500,6612
-6.500,6861
-5.500,6858
-4.500,6760
-3.500,6903
-2.500,7197
-1.500,7133
-0.500,7257
0.500,7036
1.500,7123
2.500,6921
3.500,6806
4.500,6624
5.500,6645
6.500,6332
7.500,6378
8.500,6292
9.500,6163
10.500,5859
11.500,5743
12.500,5801
13.500,5404
14.500,5400
15.500,5147
16.500,4919
17.500,4853
18.500,4579
19.500,4484
20.500,4211
21.500,3997
22.500,3748
23.500,3642
24.500,3443
25.500,3195
26.500,3057
27.500,2891
28.500,2616
29.500,2380
30.500,2312
31.500,2189
32.500,2024
33.500,1818
34.500,1758
35.500,1592
36.500,1466
37.500,1353
38.500,1217
39.500,1136
40.500,1120
41.500,1018
42.500,959
43.500,889
44.500,786
45.500,709
46.500,578
47.500,533
48.500,462
49.500,472
50.500,435
51.500,431
52.500,406
53.500,361
54.500,373
55.500,319
56.500,329
57.500,266
58.500,250
59.500,244
60.500,270
61.500,259
62.500,277
63.500,282
64.500,268
65.500,221
66.500,223
67.500,223
68.500,246
69.500,210
70.500,241
71.500,215
72.500,234
73.500,221
74.500,224
75.500,159
76.500,204
77.500,158
78.500,188
79.500,169
80.500,154
81.500,157
82.500,159
83.500,156
84.500,129
85.500,149
86.500,131
87.500,152
88.500,107
89.500,125
