Orientation,Slice1
-89.500,205
-88.500,209
-87.500,213
-86.500,220
-85.500,211
-84.500,276
-83.500,240
-82.500,231
-81.500,230
-80.500,196
-79.500,222
-78.500,198
-77.500,208
-76.500,199
-75.500,184
-74.500,195
-73.500,201
-72.500,200
-71.500,182
-70.500,216
-69.500,207
-68.500,206
-67.500,224
-66.500,230
-65.500,200
-64.500,213
-63.500,251
-62.500,226
-61.500,225
-60.500,242
-59.500,271
-58.500,283
-57.500,295
-56.500,292
-55.500,288
-54.500,326
-53.500,294
-52.500,365
-51.500,422
-50.500,391
-49.500,418
-48.500,482
-47.500,549
-46.500,577
-45.500,621
-44.500,651
-43.500,717
-42.500,804
-41.500,816
-40.500,930
-39.500,1026
-38.500,1195
-37.500,1275
-36.500,1448
-35.500,1558
-34.500,1729
-33.500,1888
-32.500,1985
-31.500,2170
-30.500,2455
-29.500,2524
-28.500,2679
-27.500,2725
-26.500,2997
-25.500,2970
-24.500,3142
-23.500,3160
-22.500,3324
-21.500,3621
-20.500,3689
-19.500,3603
-18.500,3795
-17.500,3864
-16.500,3919
-15.500,4317
-14.500,4244
-13.500,4517
-12.500,4542
-11.500,4790
-10.500,5008
-9.500,5088
-8.500,5263
-7.500,5222
-6.500,5367
-5.500,5458
-4.500,5592
-3.500,5948
-2.500,5925
-1.500,5952
-0.500,6098
0.500,6147
1.500,6254
2.500,6078
3.500,6041
4.500,6026
5.500,5915
6.500,5880
7.500,5796
8.500,5635
9.500,5614
10.500,5473
11.500,5401
12.500,5299
13.500,5312
14.500,5267
15.500,5361
16.500,5138
17.500,5135
18.500,4919
19.500,4913
20.500,4669
21.500,4502
22.500,4346
23.500,4113
24.500,3958
25.500,3747
26.500,3572
27.500,3419
28.500,3205
29.500,3020
30.500,2911
31.500,2711
32.500,2718
33.500,2533
34.500,2237
35.500,2248
36.500,2083
37.500,1891
38.500,1816
39.500,1649
40.500,1475
41.500,1449
42.500,1388
43.500,1292
44.500,1155
45.500,1058
46.500,959
47.500,834
48.500,785
49.500,668
50.500,594
51.500,555
52.500,556
53.500,471
54.500,486
55.500,413
56.500,438
57.500,392
58.500,362
59.500,353
60.500,324
61.500,325
62.500,291
63.500,260
64.500,262
65.500,301
66.500,250
67.500,224
68.500,223
69.500,232
70.500,220
71.500,210
72.500,228
73.500,211
74.500,197
75.500,198
76.500,236
77.500,222
78.500,211
79.500,188
80.500,226
81.500,218
82.500,206
83.500,221
84.500,199
85.500,221
86.500,212
87.500,177
88.500,228
89.500,208
