Orientation,Slice1
-89.500,600
-88.500,562
-87.500,583
-86.500,577
-85.500,556
-84.500,547
-83.500,498
-82.500,563
-81.500,552
-80.500,505
-79.500,500
-78.500,510
-77.500,499
-76.500,467
-75.500,521
-74.500,530
-73.500,519
-72.500,512
-71.500,537
-70.500,525
-69.500,505
-68.500,543
-67.500,501
-66.500,524
-65.500,555
-64.500,549
-63.500,552
-62.500,558
-61.500,578
-60.500,576
-59.500,592
-58.500,620
-57.500,643
-56.500,690
-55.500,697
-54.500,774
-53.500,759
-52.500,809
-51.500,861
-50.500,902
-49.500,1005
-48.500,955
-47.500,1031
-46.500,1061
-45.500,1110
-44.500,1176
-43.500,1239
-42.500,1258
-41.500,1331
-40.500,1428
-39.500,1369
-38.500,1611
-37.500,1595
-36.500,1626
-35.500,1638
-34.500,1620
-33.500,1641
-32.500,1632
-31.500,1724
-30.500,1815
-29.500,1849
-28.500,1783
-27.500,1836
-26.500,1800
-25.500,1850
-24.500,1863
-23.500,1878
-22.500,1962
-21.500,1961
-20.500,1910
-19.500,1920
-18.500,1918
-17.500,1977
-16.500,2039
-15.500,2070
-14.500,2072
-13.500,2107
-12.500,2196
-11.500,2031
-10.500,2127
-9.500,2162
-8.500,2209
-7.500,2211
-6.500,2232
-5.500,2123
-4.500,2191
-3.500,2239
-2.500,2202
-1.500,2301
-0.500,2316
0.500,2412
1.500,2320
2.500,2328
3.500,2257
4.500,2240
5.500,2150
6.500,2213
7.500,2151
8.500,2300
9.500,2203
10.500,2168
11.500,2135
12.500,2155
13.500,2016
14.500,2015
15.500,1929
16.500,1859
17.500,1947
18.500,1885
19.500,1921
20.500,1939
21.500,1914
22.500,1874
23.500,1809
24.500,1911
25.500,1916
26.500,1930
27.500,1821
28.500,1896
29.500,1880
30.500,1834
31.500,1843
32.500,1864
33.500,1850
34.500,1923
35.500,1918
36.500,1820
37.500,1808
38.500,1781
39.500,1815
40.500,1695
41.500,1626
42.500,1636
43.500,1639
44.500,1617
45.500,1524
46.500,1466
47.500,1409
48.500,1349
49.500,1254
50.500,1282
51.500,1229
52.500,1182
53.500,1113
54.500,1080
55.500,1091
56.500,1012
57.500,975
58.500,972
59.500,860
60.500,960
61.500,944
62.500,842
63.500,905
64.500,888
65.500,912
66.500,901
67.500,910
68.500,883
69.500,832
70.500,757
71.500,777
72.500,841
73.500,767
74.500,755
75.500,711
76.500,678
77.500,695
78.500,752
79.500,662
80.500,699
81.500,621
82.500,605
83.500,564
84.500,606
85.500,578
86.500,525
87.500,611
88.500,618
89.500,613
