Orientation,Slice1
-89.500,743
-88.500,784
-87.500,726
-86.500,672
-85.500,698
-84.500,641
-83.500,640
-82.500,656
-81.500,634
-80.500,606
-79.500,587
-78.500,600
-77.500,555
-76.500,491
-75.500,486
-74.500,498
-73.500,453
-72.500,445
-71.500,530
-70.500,505
-69.500,540
-68.500,499
-67.500,520
-66.500,487
-65.500,539
-64.500,508
-63.500,526
-62.500,464
-61.500,483
-60.500,458
-59.500,443
-58.500,492
-57.500,447
-56.500,447
-55.500,432
-54.500,459
-53.500,427
-52.500,465
-51.500,424
-50.500,439
-49.500,396
-48.500,430
-47.500,414
-46.500,433
-45.500,469
-44.500,480
-43.500,448
-42.500,479
-41.500,499
-40.500,509
-39.500,526
-38.500,550
-37.500,595
-36.500,572
-35.500,625
-34.500,590
-33.500,569
-32.500,579
-31.500,575
-30.500,601
-29.500,568
-28.500,622
-27.500,599
-26.500,565
-25.500,558
-24.500,547
-23.500,585
-22.500,597
-21.500,571
-20.500,674
-19.500,658
-18.500,667
-17.500,707
-16.500,667
-15.500,721
-14.500,703
-13.500,780
-12.500,761
-11.500,771
-10.500,750
-9.500,754
-8.500,765
-7.500,834
-6.500,855
-5.500,911
-4.500,924
-3.500,993
-2.500,1020
-1.500,1150
-0.500,1121
0.500,1134
1.500,1274
2.500,1352
3.500,1401
4.500,1415
5.500,1479
6.500,1502
7.500,1579
8.500,1620
9.500,1627
10.500,1700
11.500,1892
12.500,1848
13.500,1952
14.500,2101
15.500,2010
16.500,2169
17.500,2291
18.500,2481
19.500,2429
20.500,2406
21.500,2552
22.500,2575
23.500,2628
24.500,2719
25.500,2812
26.500,2733
27.500,2847
28.500,2777
29.500,2716
30.500,2662
31.500,2742
32.500,2693
33.500,2637
34.500,2614
35.500,2615
36.500,2662
37.500,2557
38.500,2447
39.500,2410
40.500,2357
41.500,2274
42.500,2298
43.500,2251
44.500,2262
45.500,2172
46.500,2162
47.500,2058
48.500,2053
49.500,1886
50.500,1852
51.500,1854
52.500,1853
53.500,1787
54.500,1732
55.500,1713
56.500,1622
57.500,1622
58.500,1471
59.500,1404
60.500,1504
61.500,1487
62.500,1426
63.500,1416
64.500,1306
65.500,1316
66.500,1188
67.500,1221
68.500,1217
69.500,1148
70.500,1144
71.500,1078
72.500,1105
73.500,1110
74.500,1044
75.500,987
76.500,974
77.500,976
78.500,932
79.500,892
80.500,921
81.500,913
82.500,885
83.500,809
84.500,793
85.500,832
86.500,762
87.500,804
88.500,737
89.500,768
