Orientation,Slice1
-89.500,749
-88.500,693
-87.500,756
-86.500,768
-85.500,743
-84.500,654
-83.500,633
-82.500,679
-81.500,696
-80.500,582
-79.500,641
-78.500,615
-77.500,616
-76.500,607
-75.500,486
-74.500,568
-73.500,565
-72.500,537
-71.500,582
-70.500,593
-69.500,598
-68.500,578
-67.500,533
-66.500,581
-65.500,573
-64.500,536
-63.500,577
-62.500,588
-61.500,633
-60.500,592
-59.500,595
-58.500,576
-57.500,556
-56.500,619
-55.500,594
-54.500,621
-53.500,644
-52.500,688
-51.500,697
-50.500,636
-49.500,744
-48.500,732
-47.500,808
-46.500,777
-45.500,816
-44.500,866
-43.500,843
-42.500,837
-41.500,890
-40.500,831
-39.500,901
-38.500,820
-37.500,822
-36.500,818
-35.500,873
-34.500,825
-33.500,843
-32.500,832
-31.500,828
-30.500,871
-29.500,843
-28.500,807
-27.500,899
-26.500,834
-25.500,841
-24.500,871
-23.500,876
-22.500,887
-21.500,942
-20.500,931
-19.500,966
-18.500,961
-17.500,1017
-16.500,1039
-15.500,1103
-14.500,1155
-13.500,1128
-12.500,1132
-11.500,1147
-10.500,1183
-9.500,1249
-8.500,1234
-7.500,1291
-6.500,1347
-5.500,1361
-4.500,1399
-3.500,1451
-2.500,1540
-1.500,1607
-0.500,1872
0.500,1931
1.500,2010
2.500,2058
3.500,2129
4.500,2239
5.500,2307
6.500,2539
7.500,2720
8.500,2887
9.500,2917
10.500,3102
11.500,3225
12.500,3293
13.500,3450
14.500,3558
15.500,3668
16.500,3882
17.500,3942
18.500,4066
19.500,4178
20.500,4444
21.500,4512
22.500,4565
23.500,4587
24.500,4703
25.500,4921
26.500,4788
27.500,4793
28.500,4976
29.500,4829
30.500,4794
31.500,4817
32.500,4753
33.500,4576
34.500,4776
35.500,4550
36.500,4714
37.500,4716
38.500,4567
39.500,4536
40.500,4297
41.500,4256
42.500,4120
43.500,4026
44.500,3851
45.500,3877
46.500,3736
47.500,3530
48.500,3523
49.500,3238
50.500,3023
51.500,2839
52.500,2778
53.500,2550
54.500,2414
55.500,2357
56.500,2355
57.500,2164
58.500,2019
59.500,1975
60.500,1855
61.500,1842
62.500,1737
63.500,1511
64.500,1482
65.500,1441
66.500,1326
67.500,1242
68.500,1257
69.500,1241
70.500,1166
71.500,1110
72.500,985
73.500,952
74.500,964
75.500,930
76.500,911
77.500,970
78.500,949
79.500,813
80.500,824
81.500,892
82.500,828
83.500,830
84.500,800
85.500,746
86.500,765
87.500,703
88.500,797
89.500,787
