Orientation,Slice1
-89.500,831
-88.500,859
-87.500,857
-86.500,944
-85.500,946
-84.500,915
-83.500,843
-82.500,782
-81.500,813
-80.500,829
-79.500,922
-78.500,837
-77.500,834
-76.500,784
-75.500,807
-74.500,791
-73.500,799
-72.500,845
-71.500,780
-70.500,827
-69.500,720
-68.500,772
-67.500,817
-66.500,802
-65.500,954
-64.500,861
-63.500,931
-62.500,926
-61.500,994
-60.500,1029
-59.500,1092
-58.500,1127
-57.500,1176
-56.500,1208
-55.500,1216
-54.500,1309
-53.500,1402
-52.500,1429
-51.500,1658
-50.500,1753
-49.500,2026
-48.500,2055
-47.500,2238
-46.500,2373
-45.500,2448
-44.500,2538
-43.500,2790
-42.500,2951
-41.500,2937
-40.500,3095
-39.500,3226
-38.500,3246
-37.500,3416
-36.500,3454
-35.500,3499
-34.500,3572
-33.500,3530
-32.500,3592
-31.500,3615
-30.500,3565
-29.500,3693
-28.500,3657
-27.500,3808
-26.500,3737
-25.500,3782
-24.500,3748
-23.500,3847
-22.500,3676
-21.500,3761
-20.500,3862
-19.500,3724
-18.500,3781
-17.500,3807
-16.500,3864
-15.500,3778
-14.500,3833
-13.500,3970
-12.500,3926
-11.500,3854
-10.500,3882
-9.500,3938
-8.500,3917
-7.500,4007
-6.500,3947
-5.500,4119
-4.500,4026
-3.500,4029
-2.500,4131
-1.500,4176
-0.500,4176
0.500,4158
1.500,4104
2.500,4194
3.500,4155
4.500,4149
5.500,4086
6.500,4101
7.500,3978
8.500,4170
9.500,4106
10.500,4111
11.500,4145
12.500,4123
13.500,4007
14.500,4109
15.500,3933
16.500,4081
17.500,4176
18.500,4135
19.500,4163
20.500,4097
21.500,4158
22.500,4016
23.500,4087
24.500,4096
25.500,4063
26.500,4078
27.500,4002
28.500,3977
29.500,4023
30.500,4096
31.500,4083
32.500,3997
33.500,3865
34.500,3787
35.500,3690
36.500,3878
37.500,3831
38.500,3712
39.500,3624
40.500,3500
41.500,3324
42.500,3308
43.500,3067
44.500,2972
45.500,2810
46.500,2818
47.500,2748
48.500,2515
49.500,2534
50.500,2258
51.500,2232
52.500,1984
53.500,1931
54.500,1898
55.500,1769
56.500,1683
57.500,1615
58.500,1521
59.500,1526
60.500,1467
61.500,1307
62.500,1278
63.500,1274
64.500,1210
65.500,1216
66.500,1241
67.500,1147
68.500,1243
69.500,1104
70.500,1151
71.500,1053
72.500,977
73.500,1018
74.500,1063
75.500,996
76.500,1031
77.500,928
78.500,973
79.500,925
80.500,918
81.500,849
82.500,814
83.500,829
84.500,823
85.500,810
86.500,832
87.500,818
88.500,871
89.500,854
