Orientation,Slice1
-89.500,300
-88.500,281
-87.500,303
-86.500,307
-85.500,281
-84.500,283
-83.500,288
-82.500,304
-81.500,357
-80.500,346
-79.500,321
-78.500,317
-77.500,306
-76.500,312
-75.500,316
-74.500,319
-73.500,312
-72.500,341
-71.500,348
-70.500,342
-69.500,319
-68.500,399
-67.500,375
-66.500,363
-65.500,386
-64.500,376
-63.500,416
-62.500,465
-61.500,505
-60.500,506
-59.500,554
-58.500,583
-57.500,581
-56.500,633
-55.500,649
-54.500,642
-53.500,664
-52.500,727
-51.500,791
-50.500,858
-49.500,951
-48.500,1029
-47.500,1153
-46.500,1183
-45.500,1281
-44.500,1446
-43.500,1522
-42.500,1704
-41.500,1859
-40.500,1913
-39.500,2135
-38.500,2228
-37.500,2478
-36.500,2629
-35.500,2782
-34.500,2727
-33.500,2925
-32.500,3034
-31.500,3156
-30.500,3308
-29.500,3452
-28.500,3671
-27.500,3663
-26.500,3749
-25.500,3608
-24.500,3782
-23.500,3789
-22.500,3818
-21.500,3883
-20.500,3793
-19.500,3730
-18.500,3698
-17.500,3611
-16.500,3682
-15.500,3505
-14.500,3468
-13.500,3300
-12.500,3404
-11.500,3382
-10.500,3413
-9.500,3419
-8.500,3494
-7.500,3571
-6.500,3563
-5.500,3694
-4.500,3550
-3.500,3615
-2.500,3522
-1.500,3624
-0.500,3504
0.500,3515
1.500,3855
2.500,3880
3.500,3978
4.500,4215
5.500,4125
6.500,4173
7.500,4229
8.500,4283
9.500,4327
10.500,4220
11.500,4256
12.500,4182
13.500,4129
14.500,4158
15.500,4035
16.500,3983
17.500,4080
18.500,3917
19.500,3816
20.500,3914
21.500,3827
22.500,4067
23.500,4144
24.500,4267
25.500,4330
26.500,4261
27.500,4183
28.500,4141
29.500,4204
30.500,4157
31.500,4132
32.500,4158
33.500,3881
34.500,3810
35.500,3747
36.500,3590
37.500,3361
38.500,3404
39.500,3047
40.500,2950
41.500,2791
42.500,2535
43.500,2413
44.500,2361
45.500,2212
46.500,2045
47.500,1940
48.500,1811
49.500,1654
50.500,1580
51.500,1500
52.500,1370
53.500,1195
54.500,1120
55.500,1079
56.500,978
57.500,944
58.500,904
59.500,796
60.500,761
61.500,718
62.500,720
63.500,713
64.500,636
65.500,613
66.500,660
67.500,578
68.500,527
69.500,591
70.500,516
71.500,471
72.500,442
73.500,382
74.500,382
75.500,374
76.500,355
77.500,371
78.500,389
79.500,344
80.500,305
81.500,312
82.500,302
83.500,330
84.500,321
85.500,289
86.500,312
87.500,308
88.500,271
89.500,292
