Orientation,Slice1
-89.500,1670
-88.500,1637
-87.500,1685
-86.500,1707
-85.500,1713
-84.500,1768
-83.500,1797
-82.500,1762
-81.500,1866
-80.500,1851
-79.500,1939
-78.500,1985
-77.500,1990
-76.500,1972
-75.500,1914
-74.500,1877
-73.500,1996
-72.500,2006
-71.500,2025
-70.500,2189
-69.500,2125
-68.500,2121
-67.500,2087
-66.500,2189
-65.500,2238
-64.500,2348
-63.500,2312
-62.500,2338
-61.500,2410
-60.500,2359
-59.500,2526
-58.500,2523
-57.500,2703
-56.500,2715
-55.500,2811
-54.500,2936
-53.500,2930
-52.500,2911
-51.500,3056
-50.500,3085
-49.500,3198
-48.500,3199
-47.500,3279
-46.500,3415
-45.500,3564
-44.500,3649
-43.500,3776
-42.500,3904
-41.500,3999
-40.500,4153
-39.500,4360
-38.500,4475
-37.500,4546
-36.500,4568
-35.500,4960
-34.500,4940
-33.500,5001
-32.500,5355
-31.500,5623
-30.500,5787
-29.500,5869
-28.500,6249
-27.500,6417
-26.500,6760
-25.500,6956
-24.500,7212
-23.500,7626
-22.500,8027
-21.500,8370
-20.500,8836
-19.500,9281
-18.500,9625
-17.500,10235
-16.500,10873
-15.500,11376
-14.500,12024
-13.500,12512
-12.500,12922
-11.500,13572
-10.500,14108
-9.500,15041
-8.500,15796
-7.500,16694
-6.500,17511
-5.500,18528
-4.500,19311
-3.500,20520
-2.500,21188
-1.500,21515
-0.500,22304
0.500,22773
1.500,22963
2.500,22893
3.500,22701
4.500,22019
5.500,21424
6.500,20846
7.500,20292
8.500,19056
9.500,17874
10.500,16852
11.500,16087
12.500,14896
13.500,13771
14.500,12842
15.500,11963
16.500,11180
17.500,10792
18.500,10006
19.500,9475
20.500,8822
21.500,8298
22.500,7923
23.500,7639
24.500,7018
25.500,6760
26.500,6581
27.500,6133
28.500,5635
29.500,5384
30.500,5056
31.500,4740
32.500,4541
33.500,4209
34.500,3938
35.500,3787
36.500,3564
37.500,3430
38.500,3202
39.500,3027
40.500,2927
41.500,2822
42.500,2755
43.500,2727
44.500,2545
45.500,2471
46.500,2390
47.500,2312
48.500,2180
49.500,2118
50.500,2166
51.500,2058
52.500,1957
53.500,1736
54.500,1805
55.500,1745
56.500,1695
57.500,1724
58.500,1657
59.500,1628
60.500,1617
61.500,1588
62.500,1557
63.500,1475
64.500,1454
65.500,1414
66.500,1405
67.500,1433
68.500,1379
69.500,1341
70.500,1365
71.500,1372
72.500,1344
73.500,1281
74.500,1362
75.500,1215
76.500,1286
77.500,1229
78.500,1225
79.500,1308
80.500,1249
81.500,1246
82.500,1335
83.500,1341
84.500,1402
85.500,1438
86.500,1480
87.500,1529
88.500,1547
89.500,1588
