Orientation,Slice1
-89.500,744
-88.500,714
-87.500,769
-86.500,742
-85.500,748
-84.500,783
-83.500,798
-82.500,814
-81.500,827
-80.500,860
-79.500,827
-78.500,898
-77.500,946
-76.500,855
-75.500,913
-74.500,1005
-73.500,1035
-72.500,929
-71.500,964
-70.500,1063
-69.500,1064
-68.500,1166
-67.500,1148
-66.500,1210
-65.500,1231
-64.500,1258
-63.500,1288
-62.500,1351
-61.500,1362
-60.500,1422
-59.500,1525
-58.500,1634
-57.500,1619
-56.500,1566
-55.500,1693
-54.500,1692
-53.500,1814
-52.500,1799
-51.500,2013
-50.500,2138
-49.500,2172
-48.500,2272
-47.500,2277
-46.500,2381
-45.500,2423
-44.500,2612
-43.500,2691
-42.500,2857
-41.500,2801
-40.500,3032
-39.500,3035
-38.500,3128
-37.500,3379
-36.500,3555
-35.500,3848
-34.500,4140
-33.500,4149
-32.500,4307
-31.500,4609
-30.500,4816
-29.500,5135
-28.500,5321
-27.500,5565
-26.500,5693
-25.500,6191
-24.500,6403
-23.500,6758
-22.500,7087
-21.500,7425
-20.500,8098
-19.500,8345
-18.500,8882
-17.500,9323
-16.500,9832
-15.500,10245
-14.500,10932
-13.500,11742
-12.500,12521
-11.500,13144
-10.500,13836
-9.500,14928
-8.500,16111
-7.500,17082
-6.500,18414
-5.500,19765
-4.500,21231
-3.500,22213
-2.500,23176
-1.500,23681
-0.500,24686
0.500,25075
1.500,25337
2.500,25182
3.500,24452
4.500,23655
5.500,22537
6.500,20721
7.500,19058
8.500,17392
9.500,15900
10.500,14204
11.500,13197
12.500,12071
13.500,11285
14.500,10485
15.500,9447
16.500,8808
17.500,8174
18.500,7774
19.500,7236
20.500,6689
21.500,6206
22.500,5595
23.500,5426
24.500,4992
25.500,4549
26.500,4133
27.500,3931
28.500,3743
29.500,3547
30.500,3265
31.500,3211
32.500,2992
33.500,2878
34.500,2846
35.500,2722
36.500,2614
37.500,2489
38.500,2317
39.500,2149
40.500,2060
41.500,2036
42.500,1778
43.500,1764
44.500,1700
45.500,1532
46.500,1441
47.500,1387
48.500,1357
49.500,1343
50.500,1287
51.500,1138
52.500,1169
53.500,1079
54.500,1026
55.500,1001
56.500,959
57.500,956
58.500,869
59.500,868
60.500,822
61.500,817
62.500,778
63.500,811
64.500,766
65.500,811
66.500,840
67.500,802
68.500,784
69.500,768
70.500,752
71.500,714
72.500,734
73.500,721
74.500,671
75.500,664
76.500,618
77.500,627
78.500,631
79.500,686
80.500,685
81.500,666
82.500,664
83.500,759
84.500,716
85.500,742
86.500,709
87.500,737
88.500,690
89.500,705
