Orientation,Slice1
-89.500,2717
-88.500,2728
-87.500,2864
-86.500,3054
-85.500,3004
-84.500,3090
-83.500,3188
-82.500,3236
-81.500,3153
-80.500,3203
-79.500,3155
-78.500,3168
-77.500,3183
-76.500,3056
-75.500,3166
-74.500,3066
-73.500,3199
-72.500,3194
-71.500,3319
-70.500,3393
-69.500,3519
-68.500,3387
-67.500,3514
-66.500,3599
-65.500,3532
-64.500,3509
-63.500,3640
-62.500,3610
-61.500,3606
-60.500,3731
-59.500,3733
-58.500,3799
-57.500,3938
-56.500,4148
-55.500,4027
-54.500,4115
-53.500,4185
-52.500,4283
-51.500,4283
-50.500,4322
-49.500,4372
-48.500,4385
-47.500,4447
-46.500,4527
-45.500,4566
-44.500,4618
-43.500,4446
-42.500,4373
-41.500,4386
-40.500,4264
-39.500,4291
-38.500,4263
-37.500,4269
-36.500,4377
-35.500,4307
-34.500,4346
-33.500,4286
-32.500,4326
-31.500,4191
-30.500,4169
-29.500,4186
-28.500,4078
-27.500,3988
-26.500,4188
-25.500,4087
-24.500,4299
-23.500,4150
-22.500,4135
-21.500,4081
-20.500,4199
-19.500,4295
-18.500,4224
-17.500,4211
-16.500,4495
-15.500,4576
-14.500,4687
-13.500,4863
-12.500,4797
-11.500,4683
-10.500,4897
-9.500,4863
-8.500,4854
-7.500,5206
-6.500,5329
-5.500,5244
-4.500,5296
-3.500,5508
-2.500,5680
-1.500,5522
-0.500,5784
0.500,5955
1.500,5766
2.500,5627
3.500,5681
4.500,5264
5.500,5237
6.500,4914
7.500,4903
8.500,4917
9.500,4748
10.500,4650
11.500,4565
12.500,4420
13.500,4560
14.500,4294
15.500,4219
16.500,4031
17.500,3957
18.500,3995
19.500,3835
20.500,3750
21.500,3744
22.500,3608
23.500,3471
24.500,3278
25.500,3273
26.500,2999
27.500,3074
28.500,3203
29.500,3005
30.500,3096
31.500,2981
32.500,2819
33.500,2756
34.500,2793
35.500,2691
36.500,2611
37.500,2564
38.500,2459
39.500,2386
40.500,2359
41.500,2223
42.500,2287
43.500,2240
44.500,2163
45.500,2132
46.500,2033
47.500,2096
48.500,2067
49.500,2030
50.500,1964
51.500,1895
52.500,1871
53.500,1832
54.500,1840
55.500,1807
56.500,1798
57.500,1760
58.500,1754
59.500,1844
60.500,1781
61.500,1665
62.500,1730
63.500,1698
64.500,1723
65.500,1760
66.500,1795
67.500,1789
68.500,1734
69.500,1825
70.500,1809
71.500,1835
72.500,1830
73.500,1910
74.500,1906
75.500,1953
76.500,1987
77.500,1943
78.500,2015
79.500,2123
80.500,2144
81.500,2218
82.500,2212
83.500,2266
84.500,2323
85.500,2384
86.500,2437
87.500,2489
88.500,2569
89.500,2632
