Orientation,Slice1
-89.500,824
-88.500,808
-87.500,804
-86.500,769
-85.500,830
-84.500,852
-83.500,860
-82.500,829
-81.500,885
-80.500,908
-79.500,898
-78.500,897
-77.500,969
-76.500,931
-75.500,957
-74.500,942
-73.500,1009
-72.500,1082
-71.500,1112
-70.500,1152
-69.500,1108
-68.500,1143
-67.500,1184
-66.500,1224
-65.500,1238
-64.500,1345
-63.500,1342
-62.500,1364
-61.500,1403
-60.500,1409
-59.500,1434
-58.500,1447
-57.500,1484
-56.500,1685
-55.500,1687
-54.500,1601
-53.500,1643
-52.500,1679
-51.500,1717
-50.500,1759
-49.500,1863
-48.500,1995
-47.500,1849
-46.500,1845
-45.500,1841
-44.500,1911
-43.500,2044
-42.500,2150
-41.500,2009
-40.500,2189
-39.500,2212
-38.500,2267
-37.500,2354
-36.500,2377
-35.500,2470
-34.500,2608
-33.500,2662
-32.500,2846
-31.500,2862
-30.500,3154
-29.500,3275
-28.500,3206
-27.500,3291
-26.500,3379
-25.500,3378
-24.500,3796
-23.500,3901
-22.500,3990
-21.500,4023
-20.500,4192
-19.500,4118
-18.500,4304
-17.500,4336
-16.500,4392
-15.500,4532
-14.500,4631
-13.500,4787
-12.500,4789
-11.500,4909
-10.500,5084
-9.500,5123
-8.500,5289
-7.500,5348
-6.500,5364
-5.500,5490
-4.500,5691
-3.500,5575
-2.500,5799
-1.500,5810
-0.500,5797
0.500,5751
1.500,5428
2.500,5115
3.500,4802
4.500,4529
5.500,4438
6.500,4171
7.500,4196
8.500,3978
9.500,3796
10.500,3615
11.500,3447
12.500,3345
13.500,3127
14.500,3069
15.500,2917
16.500,2975
17.500,2728
18.500,2774
19.500,2675
20.500,2526
21.500,2344
22.500,2179
23.500,2159
24.500,2139
25.500,2053
26.500,2046
27.500,2042
28.500,1991
29.500,2030
30.500,2041
31.500,1939
32.500,1883
33.500,1960
34.500,1879
35.500,1823
36.500,1867
37.500,1903
38.500,1771
39.500,1788
40.500,1745
41.500,1637
42.500,1565
43.500,1547
44.500,1580
45.500,1582
46.500,1484
47.500,1434
48.500,1341
49.500,1392
50.500,1395
51.500,1429
52.500,1306
53.500,1323
54.500,1382
55.500,1348
56.500,1238
57.500,1177
58.500,1074
59.500,1059
60.500,1057
61.500,1103
62.500,1038
63.500,1022
64.500,1004
65.500,944
66.500,989
67.500,1030
68.500,961
69.500,986
70.500,938
71.500,896
72.500,961
73.500,885
74.500,933
75.500,879
76.500,890
77.500,874
78.500,833
79.500,796
80.500,876
81.500,782
82.500,828
83.500,815
84.500,791
85.500,819
86.500,816
87.500,788
88.500,804
89.500,814
