Orientation,Slice1
-89.500,243
-88.500,269
-87.500,296
-86.500,266
-85.500,313
-84.500,329
-83.500,300
-82.500,314
-81.500,325
-80.500,349
-79.500,334
-78.500,360
-77.500,387
-76.500,418
-75.500,403
-74.500,418
-73.500,436
-72.500,499
-71.500,494
-70.500,464
-69.500,561
-68.500,568
-67.500,590
-66.500,632
-65.500,663
-64.500,656
-63.500,736
-62.500,748
-61.500,788
-60.500,848
-59.500,950
-58.500,1052
-57.500,1117
-56.500,1256
-55.500,1329
-54.500,1448
-53.500,1483
-52.500,1506
-51.500,1638
-50.500,1655
-49.500,1766
-48.500,1892
-47.500,2143
-46.500,2140
-45.500,2280
-44.500,2557
-43.500,2555
-42.500,2612
-41.500,2729
-40.500,2849
-39.500,2792
-38.500,2946
-37.500,2929
-36.500,2973
-35.500,2988
-34.500,3131
-33.500,3323
-32.500,3448
-31.500,3473
-30.500,3570
-29.500,3458
-28.500,3473
-27.500,3585
-26.500,3484
-25.500,3483
-24.500,3551
-23.500,3529
-22.500,3519
-21.500,3434
-20.500,3400
-19.500,3631
-18.500,3467
-17.500,3461
-16.500,3561
-15.500,3633
-14.500,3544
-13.500,3774
-12.500,3706
-11.500,3646
-10.500,3678
-9.500,3787
-8.500,3920
-7.500,3853
-6.500,3920
-5.500,3903
-4.500,4119
-3.500,4130
-2.500,4091
-1.500,4279
-0.500,4369
0.500,4313
1.500,4456
2.500,4610
3.500,4330
4.500,4344
5.500,4264
6.500,4212
7.500,4351
8.500,4300
9.500,4307
10.500,4195
11.500,4079
12.500,4120
13.500,4070
14.500,4078
15.500,4055
16.500,3979
17.500,4002
18.500,3943
19.500,3893
20.500,3796
21.500,3747
22.500,3666
23.500,3682
24.500,3689
25.500,3248
26.500,3264
27.500,3173
28.500,3068
29.500,3034
30.500,2875
31.500,2765
32.500,2587
33.500,2443
34.500,2336
35.500,2198
36.500,2054
37.500,1876
38.500,1803
39.500,1642
40.500,1512
41.500,1457
42.500,1308
43.500,1159
44.500,1119
45.500,1098
46.500,1038
47.500,959
48.500,904
49.500,767
50.500,736
51.500,657
52.500,558
53.500,564
54.500,472
55.500,457
56.500,480
57.500,436
58.500,393
59.500,378
60.500,365
61.500,323
62.500,334
63.500,329
64.500,317
65.500,299
66.500,270
67.500,275
68.500,269
69.500,268
70.500,269
71.500,281
72.500,258
73.500,240
74.500,264
75.500,272
76.500,254
77.500,223
78.500,245
79.500,231
80.500,253
81.500,248
82.500,253
83.500,256
84.500,267
85.500,275
86.500,262
87.500,238
88.500,271
89.500,264
