Orientation,Slice1
-89.500,327
-88.500,295
-87.500,311
-86.500,298
-85.500,345
-84.500,372
-83.500,362
-82.500,371
-81.500,331
-80.500,357
-79.500,367
-78.500,425
-77.500,442
-76.500,449
-75.500,441
-74.500,507
-73.500,483
-72.500,521
-71.500,476
-70.500,554
-69.500,571
-68.500,611
-67.500,599
-66.500,676
-65.500,685
-64.500,740
-63.500,842
-62.500,933
-61.500,917
-60.500,984
-59.500,1057
-58.500,1145
-57.500,1269
-56.500,1319
-55.500,1384
-54.500,1331
-53.500,1428
-52.500,1534
-51.500,1592
-50.500,1824
-49.500,1789
-48.500,1845
-47.500,2048
-46.500,2031
-45.500,2108
-44.500,2304
-43.500,2471
-42.500,2607
-41.500,2742
-40.500,2813
-39.500,2765
-38.500,2846
-37.500,2871
-36.500,2948
-35.500,2971
-34.500,3060
-33.500,3124
-32.500,3008
-31.500,3077
-30.500,3023
-29.500,3116
-28.500,3159
-27.500,3278
-26.500,3239
-25.500,3260
-24.500,3262
-23.500,3271
-22.500,3287
-21.500,3241
-20.500,3251
-19.500,3350
-18.500,3269
-17.500,3151
-16.500,3231
-15.500,3271
-14.500,3231
-13.500,3327
-12.500,3094
-11.500,3219
-10.500,3337
-9.500,3353
-8.500,3259
-7.500,3288
-6.500,3247
-5.500,3284
-4.500,3243
-3.500,3373
-2.500,3437
-1.500,3408
-0.500,3575
0.500,3542
1.500,3615
2.500,3581
3.500,3728
4.500,3722
5.500,3788
6.500,3737
7.500,3744
8.500,3873
9.500,4013
10.500,3898
11.500,3937
12.500,3883
13.500,3895
14.500,3955
15.500,3975
16.500,3991
17.500,4132
18.500,4092
19.500,4034
20.500,3965
21.500,3958
22.500,3944
23.500,3801
24.500,3928
25.500,3818
26.500,3762
27.500,3801
28.500,3625
29.500,3500
30.500,3415
31.500,3453
32.500,3201
33.500,3068
34.500,3051
35.500,2709
36.500,2614
37.500,2596
38.500,2473
39.500,2342
40.500,2138
41.500,2017
42.500,1830
43.500,1704
44.500,1479
45.500,1455
46.500,1400
47.500,1228
48.500,1105
49.500,1087
50.500,1013
51.500,1027
52.500,972
53.500,876
54.500,787
55.500,746
56.500,645
57.500,669
58.500,632
59.500,571
60.500,568
61.500,486
62.500,497
63.500,486
64.500,463
65.500,440
66.500,435
67.500,382
68.500,369
69.500,316
70.500,326
71.500,288
72.500,349
73.500,310
74.500,283
75.500,300
76.500,303
77.500,326
78.500,293
79.500,292
80.500,309
81.500,300
82.500,324
83.500,303
84.500,313
85.500,312
86.500,324
87.500,344
88.500,300
89.500,307
