Orientation,Slice1
-89.500,706
-88.500,676
-87.500,654
-86.500,691
-85.500,686
-84.500,669
-83.500,665
-82.500,719
-81.500,672
-80.500,656
-79.500,637
-78.500,572
-77.500,605
-76.500,609
-75.500,634
-74.500,632
-73.500,649
-72.500,674
-71.500,734
-70.500,727
-69.500,716
-68.500,682
-67.500,703
-66.500,786
-65.500,792
-64.500,698
-63.500,774
-62.500,723
-61.500,681
-60.500,722
-59.500,731
-58.500,741
-57.500,722
-56.500,708
-55.500,770
-54.500,779
-53.500,818
-52.500,824
-51.500,824
-50.500,870
-49.500,910
-48.500,971
-47.500,884
-46.500,902
-45.500,928
-44.500,965
-43.500,1022
-42.500,959
-41.500,871
-40.500,892
-39.500,920
-38.500,948
-37.500,957
-36.500,914
-35.500,896
-34.500,932
-33.500,940
-32.500,974
-31.500,923
-30.500,886
-29.500,939
-28.500,948
-27.500,860
-26.500,865
-25.500,802
-24.500,868
-23.500,860
-22.500,871
-21.500,919
-20.500,968
-19.500,1025
-18.500,1014
-17.500,1010
-16.500,965
-15.500,962
-14.500,1023
-13.500,1047
-12.500,1036
-11.500,1066
-10.500,1088
-9.500,1103
-8.500,1225
-7.500,1137
-6.500,1135
-5.500,1192
-4.500,1189
-3.500,1339
-2.500,1311
-1.500,1389
-0.500,1333
0.500,1460
1.500,1450
2.500,1553
3.500,1669
4.500,1650
5.500,1792
6.500,1815
7.500,1845
8.500,1999
9.500,2163
10.500,2224
11.500,2208
12.500,2337
13.500,2364
14.500,2448
15.500,2661
16.500,2964
17.500,2976
18.500,3179
19.500,3475
20.500,3624
21.500,3757
22.500,4048
23.500,4252
24.500,4285
25.500,4691
26.500,4789
27.500,4998
28.500,5270
29.500,5393
30.500,5518
31.500,5814
32.500,5948
33.500,6005
34.500,5931
35.500,5887
36.500,6223
37.500,6259
38.500,6334
39.500,6418
40.500,6396
41.500,6193
42.500,6189
43.500,6043
44.500,5773
45.500,5565
46.500,5501
47.500,5206
48.500,4854
49.500,4626
50.500,4388
51.500,4152
52.500,3930
53.500,3860
54.500,3643
55.500,3356
56.500,3201
57.500,2984
58.500,2753
59.500,2552
60.500,2417
61.500,2355
62.500,2257
63.500,2131
64.500,2017
65.500,1869
66.500,1765
67.500,1563
68.500,1443
69.500,1385
70.500,1346
71.500,1239
72.500,1121
73.500,1095
74.500,1086
75.500,1081
76.500,1045
77.500,1048
78.500,977
79.500,917
80.500,961
81.500,935
82.500,870
83.500,860
84.500,827
85.500,824
86.500,752
87.500,787
88.500,753
89.500,733
