Orientation,Slice1
-89.500,267
-88.500,275
-87.500,303
-86.500,305
-85.500,294
-84.500,278
-83.500,252
-82.500,258
-81.500,335
-80.500,335
-79.500,341
-78.500,358
-77.500,406
-76.500,441
-75.500,494
-74.500,544
-73.500,624
-72.500,667
-71.500,578
-70.500,633
-69.500,609
-68.500,634
-67.500,679
-66.500,625
-65.500,650
-64.500,643
-63.500,673
-62.500,723
-61.500,715
-60.500,683
-59.500,673
-58.500,733
-57.500,780
-56.500,851
-55.500,792
-54.500,850
-53.500,772
-52.500,815
-51.500,843
-50.500,842
-49.500,886
-48.500,813
-47.500,898
-46.500,958
-45.500,917
-44.500,963
-43.500,1041
-42.500,1024
-41.500,1114
-40.500,1249
-39.500,1208
-38.500,1246
-37.500,1250
-36.500,1348
-35.500,1467
-34.500,1531
-33.500,1654
-32.500,1753
-31.500,1866
-30.500,2044
-29.500,2184
-28.500,2340
-27.500,2678
-26.500,2697
-25.500,3212
-24.500,3155
-23.500,3590
-22.500,3821
-21.500,4126
-20.500,4494
-19.500,4686
-18.500,5318
-17.500,5724
-16.500,6024
-15.500,6260
-14.500,6895
-13.500,7371
-12.500,7531
-11.500,8483
-10.500,9104
-9.500,9791
-8.500,10550
-7.500,10936
-6.500,11643
-5.500,12133
-4.500,13166
-3.500,13668
-2.500,14192
-1.500,14784
-0.500,14983
0.500,15280
1.500,15063
2.500,15045
3.500,14259
4.500,13665
5.500,12799
6.500,11887
7.500,11422
8.500,10865
9.500,10337
10.500,9644
11.500,9099
12.500,8565
13.500,7871
14.500,6984
15.500,6663
16.500,6190
17.500,5812
18.500,5176
19.500,4802
20.500,4427
21.500,3951
22.500,3801
23.500,3517
24.500,3215
25.500,3008
26.500,2808
27.500,2583
28.500,2491
29.500,2225
30.500,2018
31.500,1807
32.500,1696
33.500,1635
34.500,1517
35.500,1440
36.500,1355
37.500,1275
38.500,1167
39.500,1064
40.500,1016
41.500,930
42.500,877
43.500,811
44.500,796
45.500,757
46.500,708
47.500,731
48.500,628
49.500,627
50.500,582
51.500,625
52.500,615
53.500,583
54.500,556
55.500,508
56.500,490
57.500,484
58.500,455
59.500,453
60.500,389
61.500,415
62.500,362
63.500,371
64.500,365
65.500,370
66.500,328
67.500,364
68.500,316
69.500,349
70.500,349
71.500,306
72.500,297
73.500,294
74.500,273
75.500,294
76.500,274
77.500,285
78.500,306
79.500,253
80.500,264
81.500,262
82.500,244
83.500,258
84.500,281
85.500,286
86.500,280
87.500,299
88.500,290
89.500,294
