Orientation,Slice1
-89.500,183
-88.500,156
-87.500,195
-86.500,173
-85.500,194
-84.500,175
-83.500,182
-82.500,179
-81.500,151
-80.500,183
-79.500,206
-78.500,230
-77.500,269
-76.500,262
-75.500,289
-74.500,267
-73.500,258
-72.500,286
-71.500,327
-70.500,304
-69.500,310
-68.500,338
-67.500,350
-66.500,333
-65.500,344
-64.500,330
-63.500,380
-62.500,388
-61.500,365
-60.500,367
-59.500,370
-58.500,372
-57.500,360
-56.500,395
-55.500,424
-54.500,417
-53.500,504
-52.500,482
-51.500,562
-50.500,547
-49.500,578
-48.500,579
-47.500,572
-46.500,634
-45.500,633
-44.500,623
-43.500,671
-42.500,641
-41.500,691
-40.500,733
-39.500,817
-38.500,809
-37.500,858
-36.500,1000
-35.500,1024
-34.500,1166
-33.500,1201
-32.500,1225
-31.500,1315
-30.500,1374
-29.500,1460
-28.500,1579
-27.500,1779
-26.500,1908
-25.500,2118
-24.500,2229
-23.500,2445
-22.500,2568
-21.500,2869
-20.500,3035
-19.500,3457
-18.500,3823
-17.500,4173
-16.500,4544
-15.500,4753
-14.500,5247
-13.500,5681
-12.500,5969
-11.500,6713
-10.500,7167
-9.500,7727
-8.500,7917
-7.500,8562
-6.500,8970
-5.500,9609
-4.500,10102
-3.500,10442
-2.500,10619
-1.500,11133
-0.500,11379
0.500,11514
1.500,11693
2.500,11592
3.500,11498
4.500,11149
5.500,10897
6.500,10223
7.500,9784
8.500,8999
9.500,8594
10.500,8208
11.500,7622
12.500,7143
13.500,6662
14.500,6244
15.500,5814
16.500,5179
17.500,4810
18.500,4309
19.500,4012
20.500,3724
21.500,3394
22.500,3163
23.500,2981
24.500,2774
25.500,2522
26.500,2439
27.500,2198
28.500,2009
29.500,1969
30.500,1807
31.500,1655
32.500,1523
33.500,1433
34.500,1358
35.500,1209
36.500,1130
37.500,1008
38.500,979
39.500,924
40.500,833
41.500,831
42.500,732
43.500,712
44.500,655
45.500,608
46.500,641
47.500,579
48.500,548
49.500,506
50.500,470
51.500,441
52.500,410
53.500,386
54.500,373
55.500,351
56.500,316
57.500,323
58.500,278
59.500,288
60.500,218
61.500,239
62.500,244
63.500,221
64.500,222
65.500,231
66.500,211
67.500,193
68.500,194
69.500,198
70.500,179
71.500,197
72.500,205
73.500,167
74.500,150
75.500,191
76.500,163
77.500,166
78.500,148
79.500,130
80.500,135
81.500,134
82.500,146
83.500,174
84.500,126
85.500,141
86.500,163
87.500,182
88.500,187
89.500,191
