Orientation,Slice1
-89.500,192
-88.500,194
-87.500,224
-86.500,194
-85.500,197
-84.500,190
-83.500,199
-82.500,199
-81.500,191
-80.500,194
-79.500,184
-78.500,190
-77.500,235
-76.500,248
-75.500,209
-74.500,221
-73.500,222
-72.500,227
-71.500,258
-70.500,264
-69.500,264
-68.500,318
-67.500,324
-66.500,372
-65.500,356
-64.500,370
-63.500,365
-62.500,414
-61.500,448
-60.500,469
-59.500,531
-58.500,584
-57.500,578
-56.500,653
-55.500,729
-54.500,844
-53.500,914
-52.500,1046
-51.500,1099
-50.500,1301
-49.500,1520
-48.500,1597
-47.500,1842
-46.500,2081
-45.500,2233
-44.500,2371
-43.500,2550
-42.500,2653
-41.500,2844
-40.500,2892
-39.500,3270
-38.500,3343
-37.500,3551
-36.500,3548
-35.500,3444
-34.500,3542
-33.500,3699
-32.500,3650
-31.500,3489
-30.500,3450
-29.500,3348
-28.500,3300
-27.500,3227
-26.500,3095
-25.500,2991
-24.500,3058
-23.500,2993
-22.500,2972
-21.500,3016
-20.500,2954
-19.500,2859
-18.500,2981
-17.500,2882
-16.500,2955
-15.500,2935
-14.500,2942
-13.500,2912
-12.500,2914
-11.500,3047
-10.500,3031
-9.500,3043
-8.500,2908
-7.500,3001
-6.500,3035
-5.500,3081
-4.500,3052
-3.500,2985
-2.500,3036
-1.500,3066
-0.500,3041
0.500,2852
1.500,2831
2.500,2849
3.500,2890
4.500,2794
5.500,2766
6.500,2792
7.500,2813
8.500,2859
9.500,3055
10.500,2884
11.500,2825
12.500,2901
13.500,2702
14.500,2791
15.500,2854
16.500,2859
17.500,2840
18.500,2893
19.500,2772
20.500,2719
21.500,2622
22.500,2677
23.500,2656
24.500,2676
25.500,2528
26.500,2342
27.500,2421
28.500,2263
29.500,2156
30.500,2050
31.500,2059
32.500,1951
33.500,1868
34.500,1732
35.500,1655
36.500,1543
37.500,1468
38.500,1292
39.500,1290
40.500,1236
41.500,1143
42.500,1000
43.500,928
44.500,868
45.500,871
46.500,877
47.500,835
48.500,826
49.500,792
50.500,713
51.500,632
52.500,648
53.500,575
54.500,506
55.500,518
56.500,475
57.500,460
58.500,406
59.500,358
60.500,329
61.500,320
62.500,295
63.500,285
64.500,250
65.500,232
66.500,255
67.500,274
68.500,239
69.500,203
70.500,218
71.500,220
72.500,222
73.500,201
74.500,186
75.500,231
76.500,186
77.500,189
78.500,203
79.500,193
80.500,199
81.500,201
82.500,201
83.500,203
84.500,221
85.500,211
86.500,195
87.500,177
88.500,212
89.500,192
